Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
OGC,11,0,0,0,0,0,0,0,0,0,0,0,0,11,2008
OGM,16,0,0,0,0,0,0,0,0,0,0,0,0,16,2008
Total,27,0,0,0,0,0,0,0,0,0,0,0,0,27,2008
OGC,2,1,0,0,0,0,0,0,0,0,0,0,0,3,2009
OGM,13,0,0,0,0,0,0,0,0,0,0,0,0,13,2009
Total,15,1,0,0,0,0,0,0,0,0,0,0,0,16,2009
OGC,5,0,0,0,0,0,0,0,0,0,0,0,0,5,2010
OGM,12,1,0,0,0,0,0,0,0,0,0,0,0,13,2010
Total,17,1,0,0,0,0,0,0,0,0,0,0,0,18,2010
OGC,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2011
OGM,17,0,0,0,0,0,0,0,0,0,0,0,0,17,2011
Total,21,0,0,0,0,0,0,0,0,0,0,0,0,21,2011
OGC,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2012
OGM,10,0,0,0,0,0,0,0,0,0,0,0,0,10,2012
Total,11,1,0,0,0,0,0,0,0,0,0,0,0,12,2012
DNFSB,12,2,1,0,0,0,0,0,0,0,0,0,0,15,2013
Total,12,2,1,0,0,0,0,0,0,0,0,0,0,15,2013
DNFSB,18,2,2,2,0,0,0,0,0,0,1,0,0,25,2014
Total,18,2,2,2,0,0,0,0,0,0,1,0,0,25,2014
Total,15,0,0,0,0,0,0,0,0,0,0,0,0,15,2015
