Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
NLRB,5717,169,7,4,1,1,0,0,0,0,0,0,0,5899,2010
Total,5717,169,7,4,1,1,0,0,0,0,0,0,0,5899,2010
NLRB,5620,217,18,2,2,0,0,1,0,0,0,0,0,5860,2011
Total,5620,217,18,2,2,0,0,1,0,0,0,0,0,5860,2011
NLRB,5876,368,22,7,1,0,1,1,0,0,0,0,0,6276,2012
Total,5876,368,22,7,1,0,1,1,0,0,0,0,0,6276,2012
NLRB,5254,260,19,4,3,1,1,2,0,1,2,3,0,5550,2013
Total,5254,260,19,4,3,1,1,2,0,1,2,3,0,5550,2013
NLRB,4111,266,22,14,3,3,4,1,0,0,0,0,0,4424,2014
Total,4111,266,22,14,3,3,4,1,0,0,0,0,0,4424,2014
NLRB,3087,442,87,38,14,0,1,1,2,1,0,1,0,3674,2015
Total,3087,442,87,38,14,0,1,1,2,1,0,1,0,3674,2015
