Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total
BEP,23,7,3,1,0,0,1,0,5,0,0,0,0,40
DO,212,30,15,10,3,4,4,1,3,0,0,1,2,285
FinCEN,303,2,0,0,0,0,0,0,0,0,1,0,0,306
IRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINT,70,0,0,0,0,0,0,0,0,0,0,0,0,70
OCC,1315,112,24,4,2,1,0,0,0,0,0,0,0,1458
TIGTA,11,0,0,0,0,0,0,0,0,0,0,0,0,11
TTB,44,0,0,0,0,0,0,0,0,0,0,0,0,44
Fiscal Service,218,39,7,0,0,0,0,0,0,0,0,0,0,264
Total,2196,190,49,15,5,5,5,1,8,0,1,1,2,2478
