Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
SIGAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
SIGAR,14,3,2,1,0,0,0,0,0,0,0,0,0,20,2011
Total,14,3,2,1,0,0,0,0,0,0,0,0,0,20,2011
SIGAR,7,2,0,0,0,0,0,0,0,1,0,1,0,11,2012
Total,7,2,0,0,0,0,0,0,0,1,0,1,0,11,2012
SIGAR,24,5,1,0,0,0,0,0,0,0,0,0,0,30,2013
Total,24,5,1,0,0,0,0,0,0,0,0,0,0,30,2013
SIGAR,13,8,0,0,0,0,0,0,0,0,0,0,0,21,2014
Total,13,8,0,0,0,0,0,0,0,0,0,0,0,21,2014
SIGAR,15,9,2,0,0,0,0,0,0,0,0,0,0,26,2015
Total,15,9,2,0,0,0,0,0,0,0,0,0,0,26,2015
