Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Total,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2010
Total,7,0,0,0,0,0,0,0,0,0,0,0,0,7,2011
Total,15,0,0,0,0,0,0,0,0,0,0,0,0,15,2012
Total,19,0,0,0,0,0,0,0,0,0,0,0,0,19,2013
Total,17,0,0,0,0,0,0,0,0,0,0,0,0,17,2014
Total,25,0,0,0,0,0,0,0,0,0,0,0,0,25,2015
