Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
HQ,1259,283,140,72,105,46,17,12,10,10,43,13,36,2046,2008
Region 1,174,60,5,0,1,1,1,0,1,0,1,0,0,244,2008
Region 2,200,463,264,247,237,217,190,160,154,150,232,10,4,2528,2008
Region 3,659,737,6,0,1,0,0,0,0,0,0,0,0,1403,2008
Region 4,562,79,3,1,0,0,0,0,0,0,0,0,0,645,2008
Region 5,1421,209,41,18,2,2,0,0,0,0,0,0,0,1693,2008
Region 6,232,156,73,26,14,7,4,0,1,3,3,0,0,519,2008
Region 7,533,89,13,5,4,15,1,1,0,0,0,0,1,662,2008
Region 8,315,44,8,3,3,0,0,0,0,0,3,1,1,378,2008
Region 9,338,300,34,5,2,2,0,0,0,0,0,0,0,681,2008
Region 10,248,82,20,14,1,2,3,1,2,1,1,0,1,376,2008
Total,5941,2502,607,391,370,292,216,174,168,164,283,24,43,11175,2008
HQ,1213,358,129,68,46,30,24,18,24,19,53,17,56,2055,2009
Region 1,194,46,4,1,0,0,0,0,1,0,0,0,0,246,2009
Region 2,149,480,602,390,112,30,17,22,15,11,37,0,2,1867,2009
Region 3,541,611,9,0,0,0,1,0,0,0,0,0,0,1162,2009
Region 4,578,120,5,4,0,1,0,0,0,0,0,0,0,708,2009
Region 5,1346,179,33,11,2,1,1,0,2,0,1,2,0,1578,2009
Region 6,100,185,103,64,28,20,17,5,13,12,34,20,13,614,2009
Region 7,400,99,9,4,1,1,0,1,0,0,0,0,4,519,2009
Region 8,289,32,6,2,0,0,0,0,0,0,0,0,0,329,2009
Region 9,376,183,19,7,0,0,0,0,0,0,0,0,0,585,2009
Region 10,256,97,36,17,7,3,1,2,2,1,2,2,2,428,2009
Total,5442,2390,955,568,196,86,61,48,57,43,127,41,77,10091,2009
HQ,967,439,111,72,48,40,36,25,18,10,45,22,65,1898,2010
Region 1,170,57,15,3,1,0,0,0,1,0,3,0,0,250,2010
Region 2,154,332,193,69,165,105,134,99,9,7,10,0,1,1278,2010
