Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Foundation,202,81,22,5,1,1,1,0,0,0,1,0,0,314,2008
OIG,32,2,0,0,0,0,0,0,0,0,0,0,0,34,2008
Total,234,83,22,5,1,1,1,0,0,0,1,0,0,348,2008
Foundation,234,60,5,1,1,0,0,0,0,0,1,0,1,303,2009
OIG,79,0,0,0,0,0,0,0,0,0,0,0,0,79,2009
Total,313,60,5,1,1,0,0,0,0,0,1,0,1,382,2009
OGC,235,118,14,6,3,0,1,0,0,0,0,0,0,377,2010
OIG,87,1,0,0,0,0,0,0,0,0,0,0,0,88,2010
Total,322,119,14,6,3,0,1,0,0,0,0,0,0,465,2010
OGC,231,125,18,7,4,3,7,0,2,1,3,0,0,401,2011
OIG,112,6,0,0,0,0,0,0,0,0,0,0,0,118,2011
Total,343,131,18,7,4,3,7,0,2,1,3,0,0,519,2011
OGC,136,122,78,9,6,1,0,0,0,0,2,0,1,355,2012
OIG,58,0,1,0,1,0,0,0,0,0,0,0,0,60,2012
Total,194,122,79,9,7,1,0,0,0,0,2,0,1,415,2012
OGC,123,66,40,23,12,3,2,0,0,1,2,0,0,272,2013
OIG,26,4,2,0,0,1,0,0,0,0,0,0,0,33,2013
Total,149,70,42,23,12,4,2,0,0,1,2,0,0,305,2013
OGC,85,19,11,10,4,2,3,1,1,1,0,0,0,137,2014
OIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
Total,85,19,11,10,4,2,3,1,1,1,0,0,0,137,2014
OGC,2,1,0,0,0,0,0,0,0,0,0,0,0,3,2015
OIG,12,3,0,0,0,0,0,0,0,0,0,0,0,15,2015
Total,14,4,0,0,0,0,0,0,0,0,0,0,0,18,2015
