Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total
HQ,1259,283,140,72,105,46,17,12,10,10,43,13,36,2046
Region 1,174,60,5,0,1,1,1,0,1,0,1,0,0,244
Region 2,200,463,264,247,237,217,190,160,154,150,232,10,4,2528
Region 3,659,737,6,0,1,0,0,0,0,0,0,0,0,1403
Region 4,562,79,3,1,0,0,0,0,0,0,0,0,0,645
Region 5,1421,209,41,18,2,2,0,0,0,0,0,0,0,1693
Region 6,232,156,73,26,14,7,4,0,1,3,3,0,0,519
Region 7,533,89,13,5,4,15,1,1,0,0,0,0,1,662
Region 8,315,44,8,3,3,0,0,0,0,0,3,1,1,378
Region 9,338,300,34,5,2,2,0,0,0,0,0,0,0,681
Region 10,248,82,20,14,1,2,3,1,2,1,1,0,1,376
Total,5941,2502,607,391,370,292,216,174,168,164,283,24,43,11175
