Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
USITC,46,16,3,0,0,0,0,0,0,0,0,0,0,65,2008
Total,46,16,3,0,0,0,0,0,0,0,0,0,0,65,2008
USITC,32,16,2,0,0,0,0,0,0,0,0,0,0,50,2009
Total,32,16,2,0,0,0,0,0,0,0,0,0,0,50,2009
USITC,32,14,0,0,0,0,0,0,0,0,0,0,0,46,2010
Total,32,14,0,0,0,0,0,0,0,0,0,0,0,46,2010
USITC,24,8,0,0,0,0,0,0,0,0,0,0,0,32,2011
Total,24,8,0,0,0,0,0,0,0,0,0,0,0,32,2011
USITC,30,4,0,0,0,0,0,0,0,0,0,0,0,34,2012
Total,30,4,0,0,0,0,0,0,0,0,0,0,0,34,2012
USITC,33,0,0,0,0,0,0,0,0,0,0,0,0,33,2013
Total,33,0,0,0,0,0,0,0,0,0,0,0,0,33,2013
USITC,36,1,0,0,0,0,0,0,0,0,0,0,0,37,2014
Total,36,1,0,0,0,0,0,0,0,0,0,0,0,37,2014
USITC,23,0,0,0,0,0,0,0,0,0,0,0,0,23,2105
Total,23,0,0,0,0,0,0,0,0,0,0,0,0,23,2015
