Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
PRC,32,0,0,0,0,0,0,0,0,0,0,0,0,32,2008
Total,32,0,0,0,0,0,0,0,0,0,0,0,0,32,2008
PRC,22,0,0,0,0,0,0,0,0,0,0,0,0,22,2009
Total,22,0,0,0,0,0,0,0,0,0,0,0,0,22,2009
PRC,30,0,0,0,0,0,0,0,0,0,0,0,0,30,2010
Total,30,0,0,0,0,0,0,0,0,0,0,0,0,30,2010
PRC,24,4,2,0,0,0,0,0,0,0,0,0,0,30,2011
Total,24,4,2,0,0,0,0,0,0,0,0,0,0,30,2011
PRC,22,0,0,0,0,0,0,0,0,0,0,0,0,22,2012
Total,22,0,0,0,0,0,0,0,0,0,0,0,0,22,2012
PRC,22,0,0,0,0,0,0,0,0,0,0,0,0,22,2013
Total,22,0,0,0,0,0,0,0,0,0,0,0,0,22,2013
PRC,29,1,0,0,0,0,0,0,0,0,0,0,0,30,2014
Total,29,1,0,0,0,0,0,0,0,0,0,0,0,30,2014
PRC,8,0,0,0,0,0,0,0,0,0,0,0,0,8,2015
Total,8,0,0,0,0,0,0,0,0,0,0,0,0,8,2015
