Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
OPIC,29,14,2,0,3,1,0,0,1,0,0,0,0,50,2008
Total,29,14,2,0,3,1,0,0,1,0,0,0,0,50,2008
OPIC,28,5,0,0,0,0,0,0,0,0,0,0,0,33,2009
Total,28,5,0,0,0,0,0,0,0,0,0,0,0,33,2009
OPIC,8,23,6,2,3,1,0,0,0,0,0,0,0,43,2010
Total,8,23,6,2,3,1,0,0,0,0,0,0,0,43,2010
OPIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
OPIC,30,5,0,3,0,1,1,0,0,0,0,0,0,40,2012
Total,30,5,0,3,0,1,1,0,0,0,0,0,0,40,2012
OPIC,24,2,1,1,0,0,0,0,0,0,0,1,0,29,2013
Total,24,2,1,1,0,0,0,0,0,0,0,1,0,29,2013
OPIC,6,31,6,1,0,0,0,0,0,0,1,0,0,45,2014
Total,6,31,6,1,0,0,0,0,0,0,1,0,0,45,2014
OPIC,28,4,1,1,1,0,0,0,0,0,0,0,0,35,2015
Total,28,4,1,1,1,0,0,0,0,0,0,0,0,35,2015
