Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
MCC,21,1,0,0,0,0,0,0,0,0,1,0,0,23,2010
Total,21,1,0,0,0,0,0,0,0,0,1,0,0,23,2010
MCC,25,1,0,0,0,0,0,0,0,0,0,0,0,26,2011
Total,25,1,0,0,0,0,0,0,0,0,0,0,0,26,2011
MCC,28,1,0,0,0,0,0,0,0,0,0,0,0,29,2012
Total,28,1,0,0,0,0,0,0,0,0,0,0,0,29,2012
MCC,16,3,2,0,0,0,0,0,0,0,0,0,0,21,2013
Total,16,3,2,0,0,0,0,0,0,0,0,0,0,21,2013
MCC,11,2,0,0,0,1,0,0,0,0,0,0,0,14,2014
Total,11,2,0,0,0,1,0,0,0,0,0,0,0,14,2014
MCC,17,2,1,2,3,1,1,0,0,10,2,0,0,39,2015
Total,17,2,1,2,3,1,1,0,0,10,2,0,0,39,2015
