Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
VA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Admin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
BVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
C&LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
CFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
GC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
HRM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
IG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
NCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
OAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
OASP&IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
ODASB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
ODASIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
ODI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
OF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
OI&T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
ORM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
OSDBU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
OSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
P&P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
SEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
VBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
VCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
VHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Admin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
BVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
C&LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
CFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
GC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
HRM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
IG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Mgmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
NCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
OAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
OASHRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
OASP&IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
ODASB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
ODASIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
ODI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
OF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
OI&T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
ORM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
OSDBU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
OSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
