Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
JPRA,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
NAVY,3986,706,253,145,92,79,67,48,50,29,124,39,161,5779,2015
NGA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
NGB,15,0,0,0,0,0,0,1,0,0,0,0,0,16,2015
NORTHCOM,115,1,0,0,0,0,0,0,0,0,0,0,0,116,2015
NRO,44,2,0,0,0,0,0,0,0,0,0,0,0,46,2015
NSA,977,70,18,13,4,7,3,2,1,1,5,21,20,1142,2015
OSD/JS,693,0,0,0,0,0,0,0,0,0,0,0,0,693,2015
PACOM,24,0,0,0,0,0,0,0,0,0,0,0,0,24,2015
SOCOM,72,0,0,0,0,0,0,0,0,0,0,0,0,72,2015
SOUTHCOM,47,0,0,0,0,0,0,0,0,0,0,0,0,47,2015
STRATCOM,31,0,0,0,0,0,0,0,0,0,0,0,0,31,2015
TRANSCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Total,30970,1149,345,194,114,108,85,58,56,35,145,66,193,33518,2015
