Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
FTC,916,54,7,4,2,1,1,0,0,0,1,0,0,986,2008
Total,916,54,7,4,2,1,1,0,0,0,1,0,0,986,2008
FTC,1129,55,15,14,0,0,0,0,0,0,0,0,0,1213,2009
Total,1129,55,15,14,0,0,0,0,0,0,0,0,0,1213,2009
FTC,985,42,17,5,6,0,1,4,0,0,0,0,0,1060,2010
Total,985,42,17,5,6,0,1,4,0,0,0,0,0,1060,2010
FTC,1169,26,5,5,3,1,1,0,0,0,0,0,0,1210,2011
Total,1169,26,5,5,3,1,1,0,0,0,0,0,0,1210,2011
FTC,1130,18,1,1,1,1,0,0,0,0,0,0,0,1152,2012
Total,1130,18,1,1,1,1,0,0,0,0,0,0,0,1152,2012
FTC,1052,54,8,2,1,2,0,0,0,0,0,0,0,1119,2013
Total,1052,54,8,2,1,2,0,0,0,0,0,0,0,1119,2013
FTC,83,949,2,0,0,0,0,0,0,0,0,0,0,1034,2014
Total,83,949,2,0,0,0,0,0,0,0,0,0,0,1034,2014
FTC,883,25,5,0,0,0,0,0,0,0,0,0,0,913,2015
Total,883,25,5,0,0,0,0,0,0,0,0,0,0,913,2015
