Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
FRTIB,19,3,0,0,0,0,0,0,0,0,0,0,0,22,2010
Total,19,3,0,0,0,0,0,0,0,0,0,0,0,22,2010
FRTIB,19,5,0,0,0,0,0,0,0,0,0,0,0,24,2011
Total,19,5,0,0,0,0,0,0,0,0,0,0,0,24,2011
FRTIB,7,1,4,0,0,0,0,0,0,0,0,0,0,12,2012
Total,7,1,4,0,0,0,0,0,0,0,0,0,0,12,2012
FRTIB,9,11,1,0,0,1,0,0,0,0,0,0,0,22,2013
Total,9,11,1,0,0,1,0,0,0,0,0,0,0,22,2013
FRTIB,19,9,0,0,0,1,0,0,0,1,0,0,0,30,2014
Total,19,9,0,0,0,1,0,0,0,1,0,0,0,30,2014
FRTIB,4,4,0,1,1,0,1,0,0,0,0,0,0,11,2015
Total,4,4,0,1,1,0,1,0,0,0,0,0,0,11,2015
