Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Ex-Im Bank,25,14,0,0,0,0,0,0,0,0,0,0,0,39,2008
Total,25,14,0,0,0,0,0,0,0,0,0,0,0,39,2008
AGENCY,15,24,20,9,2,2,0,0,0,1,1,0,0,74,2009
Total,15,24,20,9,2,2,0,0,0,1,1,0,0,74,2009
HQ,21,26,12,7,0,0,0,0,0,0,0,0,0,66,2010
Total,21,26,12,7,0,0,0,0,0,0,0,0,0,66,2010
HQ,34,17,14,3,0,2,1,1,1,0,0,0,0,73,2011
Total,34,17,14,3,0,2,1,1,1,0,0,0,0,73,2011
HQ,14,4,1,2,3,0,2,0,0,0,2,0,0,28,2012
Total,14,4,1,2,3,0,2,0,0,0,2,0,0,28,2012
HQ,9,3,1,2,1,1,1,2,1,2,2,0,0,25,2013
Total,9,3,1,2,1,1,1,2,1,2,2,0,0,25,2013
OIG,1,2,1,1,0,0,0,0,0,0,0,0,0,5,2014
HQ,3,8,4,4,1,2,0,1,0,0,3,2,0,28,2014
Total,4,10,5,5,1,2,0,1,0,0,3,2,0,33,2014
OIG,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
HQ,23,4,8,4,2,4,0,0,1,1,1,1,2,51,2015
Total,27,4,8,4,2,4,0,0,1,1,1,1,2,55,2015
