Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
SSC,12,1,0,0,0,0,0,0,0,0,0,0,0,13,2014
Total,346,13,2,0,0,0,0,0,0,0,0,0,0,361,2014
AFRC,15,0,0,0,0,0,0,0,0,0,0,0,0,15,2015
ARC,11,0,0,0,0,0,0,0,0,0,0,0,0,11,2015
GRC,8,0,0,0,0,0,0,0,0,0,0,0,0,8,2015
GSFC,42,2,0,0,0,0,0,0,0,0,0,0,0,44,2015
HQ,185,1,0,0,0,0,0,0,0,0,0,0,0,186,2015
JPL,37,0,0,0,0,0,0,0,0,0,0,0,0,37,2015
JSC,50,2,0,0,0,0,0,0,0,0,0,0,0,52,2015
KSC,54,0,0,0,0,0,0,0,0,0,0,0,0,54,2015
LaRC,31,0,0,0,0,0,0,0,0,0,0,0,0,31,2015
MSFC,45,1,0,0,0,0,0,0,0,0,0,0,0,46,2015
NSSC,19,0,0,0,0,0,0,0,0,0,0,0,0,19,2015
OGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
OIG,47,6,0,0,0,0,0,0,0,0,0,0,0,53,2015
SSC,13,0,0,0,0,0,0,0,0,0,0,0,0,13,2015
Total,557,12,0,0,0,0,0,0,0,0,0,0,0,569,2015
