Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
PBGC,5562,42,7,0,0,0,0,0,0,0,0,0,0,5611,2010
Total,5562,42,7,0,0,0,0,0,0,0,0,0,0,5611,2010
PBGC,6925,357,66,10,4,1,0,0,1,0,0,0,0,7364,2011
Total,6925,357,66,10,4,1,0,0,1,0,0,0,0,7364,2011
PBGC,5316,154,5,0,0,0,0,0,0,0,0,0,0,5475,2012
Total,5316,154,5,0,0,0,0,0,0,0,0,0,0,5475,2012
PBGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
PBGC,954,29,0,0,0,0,0,0,0,0,0,0,0,983,2014
Total,954,29,0,0,0,0,0,0,0,0,0,0,0,983,2014
PBGC,1072,34,0,0,0,0,0,0,0,0,0,0,0,1106,2015
Total,1072,34,0,0,0,0,0,0,0,0,0,0,0,1106,2015
