Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
OLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
OLC,38,0,0,0,0,0,0,0,0,0,0,0,0,38,2009
Total,38,0,0,0,0,0,0,0,0,0,0,0,0,38,2009
OLC,19,0,0,0,0,0,0,0,0,0,0,0,0,19.2010
Total,19,0,0,0,0,0,0,0,0,0,0,0,0,19,2010
ONDCP,19,0,0,0,0,0,0,0,0,0,0,0,0,19
Total,19,0,0,0,0,0,0,0,0,0,0,0,0,19,2011
ONDCP,19,14,1,0,0,0,0,0,0,0,0,0,0,34,2012
Total,19,14,1,0,0,0,0,0,0,0,0,0,0,34,2012
ONDCP,22,7,5,10,9,0,5,1,0,0,1,0,0,60
Total,22,7,5,10,9,0,5,1,0,0,1,0,0,60,2013
ONDCP,22,11,21,2,1,2,0,1,0,1,0,0,0,61,2014
Total,22,11,21,2,1,2,0,1,0,1,0,0,0,61,2014
ONDCP,34,4,0,0,0,2,2,1,1,1,1,1,0,47,2015
Total,34,4,0,0,0,2,2,1,1,1,1,1,0,47,2015
