Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Total,16,3,0,0,0,0,0,0,0,0,0,0,0,19,2008
Total,32,0,0,0,0,0,0,0,0,0,0,0,0,32,2009
Total,14,0,0,0,0,0,0,0,0,0,0,0,0,14,2010
Total,21,0,0,0,0,0,0,0,0,0,0,0,0,21,2011
Total,18,1,1,0,0,0,0,0,0,0,0,0,0,20,2012
Total,36,0,0,0,0,0,0,0,0,0,0,0,0,36,2013
Total,28,1,0,0,0,0,0,0,0,0,0,0,0,29,2014
Total,10,7,1,0,0,0,0,1,0,0,0,0,0,19,2015
