Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
MSPB,337,10,4,0,0,0,0,0,0,0,0,0,0,351,2008
Total,337,10,4,0,0,0,0,0,0,0,0,0,0,351,2008
MSPB,230,85,10,8,2,0,0,0,0,0,0,0,0,335,2009
Total,230,85,10,8,2,0,0,0,0,0,0,0,0,335,2009
OCB,310,71,20,0,0,0,0,0,0,0,0,0,0,401,2010
Total,310,71,20,0,0,0,0,0,0,0,0,0,0,401,2010
MSPB,97,13,0,0,0,0,0,0,0,0,0,0,0,110,2011
Total,97,13,0,0,0,0,0,0,0,0,0,0,0,110,2011
MSPB,222,9,3,0,0,0,0,0,0,0,0,0,0,234,2012
Total,222,9,3,0,0,0,0,0,0,0,0,0,0,234,2012
MSPB,112,55,15,1,3,1,0,0,0,0,0,0,2,189,2013
Total,112,55,15,1,3,1,0,0,0,0,0,0,2,189,2013
MSPB,152,24,1,0,0,0,0,0,0,0,0,0,0,177,2014
Total,152,24,1,0,0,0,0,0,0,0,0,0,0,177,2014
MSPB,61,20,22,6,4,2,1,1,0,0,1,0,0,118,2015
Total,61,20,22,6,4,2,1,1,0,0,1,0,0,118,2015
