Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
HQ,5880,1106,599,576,515,460,384,360,313,320,1227,1347,2376,15463,2008
Total,5880,1106,599,576,515,460,384,360,313,320,1227,1347,2376,15463,2008
HQ,6151,603,395,308,152,117,90,68,46,59,245,18,5,8257,2009
Total,6151,603,395,308,152,117,90,68,46,59,245,18,5,8257,2009
HQ,7960,1230,563,260,229,118,64,46,26,11,29,0,1,10537,2010
Total,7960,1230,563,260,229,118,64,46,26,11,29,0,1,10537,2010
SEC,9747,1115,337,138,89,44,18,14,12,10,8,3,1,11536,2011
Total,9747,1115,337,138,89,44,18,14,12,10,8,3,1,11536,2011
SEC,9046,1347,549,166,71,35,22,12,9,7,6,4,0,11274,2012
Total,9046,1347,549,166,71,35,22,12,9,7,6,4,0,11274,2012
SEC,9792,1316,450,229,126,76,59,24,17,13,25,8,5,12140,2013
Total,9792,1316,450,229,126,76,59,24,17,13,25,8,5,12140,2013
SEC,12422,1240,522,221,105,67,44,38,14,11,37,11,15,14747,2014
Total,12422,1240,522,221,105,67,44,38,14,11,37,11,15,14747,2014
SEC,13339,1675,609,207,102,69,44,27,23,18,44,11,22,16190,2015
Total,13339,1675,609,207,102,69,44,27,23,18,44,11,22,16190,2015
