Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
TVA,89,0,0,0,0,0,0,0,0,0,0,0,0,89,2008
Total,89,0,0,0,0,0,0,0,0,0,0,0,0,89,2008
TVA,88,0,0,0,0,0,0,0,0,0,0,0,0,88,2009
Total,88,0,0,0,0,0,0,0,0,0,0,0,0,88,2009
TVA,119,0,0,0,0,0,0,0,0,0,0,0,0,119,2010
Total,119,0,0,0,0,0,0,0,0,0,0,0,0,119,2010
TVA,134,0,0,0,0,0,0,0,0,0,0,0,0,134,2011
Total,134,0,0,0,0,0,0,0,0,0,0,0,0,134,2011
TVA,92,0,0,0,0,0,0,0,0,0,0,0,0,92,2012
Total,92,0,0,0,0,0,0,0,0,0,0,0,0,92,2012
TVA,95,0,0,0,0,0,0,0,0,0,0,0,0,95,2013
Total,95,0,0,0,0,0,0,0,0,0,0,0,0,95,2013
TVA,80,32,0,0,0,0,0,0,0,0,0,0,0,112,2014
Total,80,32,0,0,0,0,0,0,0,0,0,0,0,112,2014
TVA,125,0,0,0,0,0,0,0,0,0,0,0,0,125,2015
Total,125,0,0,0,0,0,0,0,0,0,0,0,0,125,2015
