Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total
BIS,57,0,0,0,0,0,0,0,0,0,0,0,0,57
Census,469,1,0,0,0,0,0,0,0,0,0,0,0,470
EDA,21,0,0,0,0,0,0,0,0,0,0,0,0,21
ESA,6,2,1,0,0,0,0,0,0,0,0,0,0,9
ITA,2,0,0,0,0,0,0,0,0,0,0,0,0,2
MBDA,2,1,2,0,0,0,0,0,0,0,0,0,0,5
NIST,61,0,0,0,0,0,0,0,0,0,0,0,0,61
NOAA,160,95,53,38,20,19,7,13,10,4,27,11,9,466
NTIA,43,1,0,0,0,0,0,0,0,0,0,0,0,44
NTIS,7,5,0,0,0,0,0,0,0,0,0,0,0,12
OIG,74,21,2,1,0,0,0,0,0,0,0,0,0,98
OS,109,20,10,17,7,1,2,4,3,4,7,10,11,205
PTO,301,29,1,0,0,0,0,0,0,0,0,0,0,331
Total,1312,175,69,56,27,20,9,17,13,8,34,21,20,1781
