Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
NCUA,108,10,4,0,0,0,0,0,0,0,0,0,0,122,2008
Total,108,10,4,0,0,0,0,0,0,0,0,0,0,122,2008
NCUA,102,10,2,0,0,0,0,0,0,0,0,0,0,114,2009
Total,102,10,2,0,0,0,0,0,0,0,0,0,0,114,2009
NCUA,115,22,6,0,1,0,1,0,0,0,0,0,0,145,2010
Total,115,22,6,0,1,0,1,0,0,0,0,0,0,145,2010
NCUA,102,17,6,0,1,0,0,0,0,0,0,0,0,126,2011
Total,102,17,6,0,1,0,0,0,0,0,0,0,0,126,2011
NCUA,78,18,8,2,1,0,2,0,0,0,0,0,0,109,2012
Total,78,18,8,2,1,0,2,0,0,0,0,0,0,109,2012
NCUA,85,7,2,1,0,0,0,0,0,0,0,0,0,95,2013
Total,85,7,2,1,0,0,0,0,0,0,0,0,0,95,2013
NCUA,52,5,0,0,0,0,0,0,0,0,0,0,0,57,2014
Total,52,5,0,0,0,0,0,0,0,0,0,0,0,57,2014
NCUA,45,2,0,0,0,0,0,0,0,0,0,0,0,47,2015
Total,45,2,0,0,0,0,0,0,0,0,0,0,0,47,2015
