Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
FMCS,107,0,0,0,0,0,0,0,0,0,0,0,0,107,2008
Total,107,0,0,0,0,0,0,0,0,0,0,0,0,107,2008
FMCS,133,0,0,0,0,0,0,0,0,0,0,0,0,133,2009
Total,133,0,0,0,0,0,0,0,0,0,0,0,0,133,2009
FMCS,141,1,0,0,0,0,0,0,0,0,0,0,0,142,2010
Total,141,1,0,0,0,0,0,0,0,0,0,0,0,142,2010
FMCS,64,1,0,0,0,0,0,0,0,0,0,0,0,65,2011
Total,64,1,0,0,0,0,0,0,0,0,0,0,0,65,2011
FMCS,24,1,0,0,0,0,0,0,0,0,0,0,0,25,2012
Total,24,1,0,0,0,0,0,0,0,0,0,0,0,25,2012
FMCS,95,0,0,0,0,0,0,0,0,0,0,0,0,95,2013
Total,95,0,0,0,0,0,0,0,0,0,0,0,0,95,2013
FMCS,84,4,1,0,0,0,0,0,0,0,0,0,0,89,2014
Total,84,4,1,0,0,0,0,0,0,0,0,0,0,89,2014
FMCS,45,8,3,0,0,0,0,0,0,0,0,0,0,56,2015
Total,45,8,3,0,0,0,0,0,0,0,0,0,0,56,2015
