Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
FCC,491,158,34,32,5,2,5,1,1,0,1,0,0,730,2008
Total,491,158,34,32,5,2,5,1,1,0,1,0,0,730,2008
FCC,390,149,72,9,11,2,3,2,2,7,8,1,3,659,2009
Total,390,149,72,9,11,2,3,2,2,7,8,1,3,659,2009
FCC,440,89,22,20,11,6,2,0,0,2,1,2,3,598,2010
Total,440,89,22,20,11,6,2,0,0,2,1,2,3,598,2010
FCC,416,117,33,12,5,1,1,2,0,0,4,1,2,594,2011
Total,416,117,33,12,5,1,1,2,0,0,4,1,2,594,2011
FCC,351,84,19,8,4,3,3,0,0,1,2,0,3,478,2012
Total,351,84,19,8,4,3,3,0,0,1,2,0,3,478,2012
FCC,372,123,35,7,5,3,3,1,2,0,4,4,7,566,2013
Total,372,123,35,7,5,3,3,1,2,0,4,4,7,566,2013
FCC,430,132,36,19,5,5,2,1,0,1,3,1,1,636,2014
Total,430,132,36,19,5,5,2,1,0,1,3,1,1,636,2014
FCC,501,144,27,16,15,5,3,2,2,0,4,0,0,719,2015
Total,501,144,27,16,15,5,3,2,2,0,4,0,0,719,2015
