Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
SIGIR,8,2,0,0,0,0,0,0,0,0,0,0,0,10,2009
Total,8,2,0,0,0,0,0,0,0,0,0,0,0,10,2009
SIGIR,11,4,1,0,0,0,0,0,0,0,0,0,0,16,2010
Total,11,4,1,0,0,0,0,0,0,0,0,0,0,16,2010
SIGIR,13,1,0,0,0,0,0,0,0,0,0,0,0,14,2011
Total,13,1,0,0,0,0,0,0,0,0,0,0,0,14,2011
SIGIR,9,0,0,0,0,0,0,0,0,0,0,0,0,9,2012
Total,9,0,0,0,0,0,0,0,0,0,0,0,0,9,2012
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
