Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
BEP,71,0,0,0,0,0,0,0,0,0,0,0,0,71,2008
BPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
FinCEN,121,8,1,0,0,0,0,0,0,0,0,0,0,130,2008
FMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
IRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
MINT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
OCC,2824,0,0,0,0,0,0,0,0,0,0,0,0,2824,2008
OTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
TIGTA,163,38,7,1,0,0,0,0,0,0,0,0,0,209,2008
TTB,55,10,0,0,0,0,0,0,0,0,0,0,0,65,2008
Total,3234,56,8,1,0,0,0,0,0,0,0,0,0,3299,2008
BEP,61,0,0,0,0,0,0,0,0,0,0,0,0,61,2009
BPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
DO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
FinCEN,111,0,0,0,0,0,0,0,0,0,0,0,0,111,2009
FMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
IRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
MINT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
OCC,2681,0,0,0,0,0,0,0,0,0,0,0,0,2681,2009
OTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
TIGTA,139,41,14,2,0,0,0,0,0,0,0,0,0,196,2009
TTB,18,0,0,0,0,0,0,0,0,0,0,0,0,18,2009
Total,3010,41,14,2,0,0,0,0,0,0,0,0,0,3067,2009
BEP,78,0,0,0,0,0,0,0,0,0,0,0,0,78,2010
BPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
DO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
FinCEN,106,0,0,0,0,0,0,0,0,0,0,0,0,106,2010
FMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
IRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
MINT,127,0,0,0,0,0,0,0,0,0,0,0,0,127,2010
OCC,1455,174,48,16,12,7,4,0,0,0,0,0,0,1716,2010
OTS,567,139,30,10,14,1,3,1,3,0,4,6,0,778,2010
TIGTA,91,13,5,0,0,0,0,0,0,0,0,0,0,109,2010
TTB,65,1,0,0,0,0,0,0,0,0,0,0,0,66,2010
Total,2489,327,83,26,26,8,7,1,3,0,4,6,0,2980,2010
BEP,44,2,0,0,0,0,0,0,0,0,0,0,0,46,2011
BPD,5,1,0,0,0,0,0,0,0,0,0,0,0,6,2011
CFPB,5,1,0,0,0,0,0,0,0,0,0,0,0,6,2011
DO,166,11,5,6,3,4,2,1,1,0,3,0,0,202,2011
FinCEN,104,0,0,0,0,0,0,0,0,0,0,0,0,104,2011
FMS,280,0,0,0,0,0,0,0,0,0,0,0,0,280,2011
IRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
MINT,81,0,0,0,0,0,0,0,0,0,0,0,0,81,2011
OCC,1405,130,50,16,15,17,3,0,0,0,0,0,0,1636,2011
OTS,361,26,1,1,0,0,0,0,0,0,0,1,0,390,2011
TIGTA,5,0,0,0,0,0,0,0,0,0,0,0,0,5,2011
TTB,23,2,1,0,0,0,0,0,0,0,0,0,0,26,2011
Total,2479,173,57,23,18,21,5,1,1,0,3,1,0,2782,2011
BEP,27,6,0,0,0,0,0,0,0,0,0,0,0,33,2012
BPD,115,2,0,0,0,0,0,0,0,0,0,0,0,117,2012
CFPB,90,14,0,0,0,0,0,0,0,0,0,0,0,104,2012
DO,81,12,6,3,3,1,2,2,2,0,5,4,0,121,2012
FinCEN,133,0,0,0,0,0,0,0,0,0,0,0,0,133,2012
FMS,188,19,0,0,0,1,0,0,0,0,0,0,0,208,2012
IRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
MINT,127,0,0,0,0,0,0,0,0,0,0,0,0,127,2012
OCC,1526,152,24,12,8,6,4,3,2,1,2,0,0,1740,2012
TIGTA,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2012
TTB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Total,2289,205,30,15,11,8,6,5,4,1,7,4,0,2585,2012
BEP,48,0,0,0,0,0,0,0,0,0,0,0,0,48,2013
BPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
DO,128,43,22,7,7,4,7,0,1,1,1,0,254,475,2013
FinCEN,196,0,0,0,0,0,0,0,0,0,0,0,0,196,2013
FMS,184,30,3,0,0,0,0,1,0,0,0,0,0,218,2013
IRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
MINT,145,0,0,0,0,0,0,0,0,0,0,0,0,145,2013
OCC,1373,160,18,7,3,1,0,0,1,0,0,0,1,1564,2013
TIGTA,2,3,0,0,0,0,0,0,0,0,0,0,0,5,2013
TTB,16,1,0,0,0,0,0,0,0,0,0,0,0,17,2013
Total,2092,237,43,14,10,5,7,1,2,1,1,0,255,2668,2013
BEP,24,26,1,1,0,0,0,0,0,0,0,0,0,52,2014
