Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
BIA,150,0,0,0,0,0,0,0,0,0,0,0,0,150,2008
BLM,36,0,0,0,0,0,0,0,0,0,0,0,0,36,2008
BOR,11,0,0,0,0,0,0,0,0,0,0,0,0,11,2008
FWS,22,0,0,1,0,0,0,0,0,0,0,0,0,23,2008
MMS,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2008
NPS,112,0,0,0,0,0,0,0,0,0,0,0,0,112,2008
OIG,5,2,0,0,1,0,0,0,0,0,0,0,0,8,2008
OS,118,0,0,0,0,0,0,0,0,0,0,0,0,118,2008
OSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
SOL,14,7,3,6,3,2,2,2,0,0,1,2,2,44,2008
USGS,18,0,0,0,0,0,0,0,0,0,0,0,0,18,2008
Total,488,9,3,7,4,2,2,2,0,0,1,2,2,522,2008
BIA,141,0,0,0,0,0,0,0,0,0,0,0,0,141,2009
BLM,46,0,0,0,0,0,0,0,0,0,0,0,0,46,2009
BOR,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2009
FWS,22,4,0,0,0,0,0,0,0,0,0,0,0,26,2009
MMS,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2009
NPS,109,0,0,0,0,0,0,0,0,0,0,0,0,109,2009
OIG,1,1,3,1,0,0,0,0,0,1,0,0,0,7,2009
OS,17,0,0,0,0,0,0,0,0,0,0,0,0,17,2009
OSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
SOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
USGS,7,0,0,0,0,0,0,0,0,0,0,0,0,7,2009
Total,348,5,3,1,0,0,0,0,0,1,0,0,0,358,2009
BIA,205,1,1,0,0,0,0,0,0,0,0,0,0,207,2010
BLM,52,1,1,0,0,0,0,0,0,0,0,0,0,54,2010
BOEMRE,15,0,0,0,0,0,0,0,0,0,0,0,0,15,2010
BOR,8,0,0,1,0,0,0,0,0,0,0,0,0,9,2010
FWS,21,0,0,0,0,0,0,0,0,0,0,0,0,21,2010
NPS,11,0,1,0,0,0,0,0,0,0,0,0,0,12,2010
