Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total
DoS,1101,1000,1961,2157,1290,1640,1495,1040,371,261,1037,156,135,13644
OIG,52,22,2,1,1,0,1,0,0,0,0,0,0,79
Total,1153,1022,1963,2158,1291,1640,1496,1040,371,261,1037,156,135,13723
