Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total
BIS,47,16,7,6,1,1,0,0,1,1,0,0,0,80
Census,214,55,9,2,3,0,1,0,0,0,0,0,0,284
EDA,25,0,0,0,0,0,0,0,0,0,0,0,0,25
ESA,13,0,0,0,0,0,0,0,0,0,0,0,0,13
ITA,41,27,15,1,0,1,0,0,0,0,1,0,0,86
MBDA,2,0,0,0,0,0,0,0,0,0,0,0,0,2
NIST,170,11,6,0,2,1,1,2,1,1,5,0,2,202
NOAA,323,0,0,0,0,0,0,0,0,0,0,0,0,323
NTIA,38,9,0,0,0,0,0,0,0,0,0,0,0,47
NTIS,8,0,0,0,0,0,0,0,0,0,0,0,0,8
OIG,24,2,1,2,1,1,3,0,0,0,0,0,0,34
OS,129,39,1,0,0,0,0,0,0,0,0,0,0,169
PTO,44,196,5,0,0,0,0,0,0,0,0,0,0,245
Total,1078,355,44,11,7,4,5,2,2,2,6,0,2,1518
