Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Total,45,0,0,0,0,0,0,0,0,0,0,0,0,45,2008
Total,53,5,0,0,0,0,0,0,0,0,0,0,0,58,2009
Total,40,10,4,3,1,0,0,0,0,0,0,0,0,58,2010
Total,37,15,0,1,0,0,0,0,0,0,0,0,0,53,2011
Total,12,11,2,0,3,1,0,0,0,0,0,0,0,29,2012
Total,20,8,3,5,1,0,1,0,0,1,2,0,0,41,2013
Total,37,1,1,0,0,0,0,0,0,0,0,0,0,39,2014
Total,25,2,0,0,0,0,0,0,0,0,0,0,0,27,2015
