Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
ARC,0,0,0,18,4,8,0,0,0,0,2,1,0,0,
DFRC,0,0,2,6,0,3,0,0,0,0,0,0,0,0,
GRC,1,1,1,10,6,4,0,0,1,1,1,1,0,0,
GSFC,0,0,7,31,0,5,0,0,0,0,0,0,0,0,
HQ,0,2,4,6,24,18,2,0,0,0,1,4,0,0,
JPL,0,0,4,10,0,16,0,0,0,0,0,0,0,0,
JSC,0,0,7,10,5,6,0,0,0,0,0,0,0,0,
KSC,0,0,2,6,4,10,0,0,0,0,0,1,0,0,
LaRC,0,0,1,4,1,0,0,0,0,0,1,0,0,0,
MSFC,0,0,5,14,0,3,0,0,3,0,0,0,0,0,
NSSC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
OIG,0,0,0,0,9,20,6,0,20,1,2,1,0,0,
SSC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Total,1,3,33,115,53,95,8,0,24,2,7,8,0,0,
