Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2014-03096,OIP,6/9/14,Certain information regarding healthcare and Medicaid,Referred requester and/or request to more appropriate entity (HHS),,
FOIA-2014-03098,OIP,6/20/14,Copy of an 1868 decision of the Utah Supreme Court pertaining to the fourteenth amendment,Provided relevant information and assistance,,
FOIA-2014-03101,OIP,6/9/14,"Various records including copies of the April 2013 task orders for training courses, June 2013 Expenditure Report, Quarterly Delivered Status Report for the third quarter of Fiscal Year 2013, and the winning proposal for Solicitation DJJI-10-RFP-066",Referred requester and/or request to more appropriate entity (JMD),,
FOIA-2014-03102,OIP,6/9/14,"Various records including copies of the April 2013 task orders for training courses, June 2013 Expenditure Report, Quarterly Delivered Status Report for the third quarter of Fiscal Year 2013, and the winning proposal for Solicitation DJJI-10-RFP-066",Referred requester and/or request to more appropriate entity (JMD),,
FOIA-2014-03108,OIP,6/26/14,Various topics and non-federal agency records,Provided relevant information and assistance,,
FOIA-2014-03109,OIP,6/26/14,Various topics and non-federal agency records,Provided relevant information and assistance,,
FOIA-2014-03110,OIP,6/24/14,"Attorney General Eric Holder's expense account for his trip to Wisconsin on June 5 and June 6, 2014",Referred requester and/or request to more appropriate entity (JMD),,
FOIA-2014-03113,OIP,6/9/14,"Records sent by a third party related to the Immigration Court in San Francisco from May 1, 2013 to April 30, 2014",Referred requester and/or request to more appropriate entity (EOIR),,
FOIA-2014-03130,ODAG,6/27/14,"A ""copy of the Federal Bureau of Investigation (FBI) Annual Otherwise Illegal Activity Report for 2013”",No Records; Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2014-03131,OASG,6/27/14,"A ""copy of the Federal Bureau of Investigation (FBI) Annual Otherwise Illegal Activity Report for 2013”",No Records; Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2014-03136,OIP,6/20/14,Records pertaining to certain listed Bureau of Prisons inmates,Referred requester and/or request to more appropriate entity (BOP),,
FOIA-2014-03137,OIP,6/20/14,Copy of most recent Freedom of Information Act Reference Guide,Full Grant,,
FOIA-2014-03169,OIP,6/19/14,Records pertaining to allegations of misconduct and or Giglio and Henthorn consideration requests involving special agents in Washington D.C. since January 2012,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-03175,OIP,6/13/14,Records pertaining to Federal Bureau of Investigation (FBI) internal case number D5584747 since May 2013 ,Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2014-03194,OLA,6/24/14,Correspondence between Representative Travis Childers and the Department of Justice from May 2008 through January 2011,Records were located and referred to more appropriate entity (COPS & OJP),,
