Component,Median Number of Days,Average Number of Days,Lowest Number of Days,Highest Number of Days,
AF,131,139,15,441,
ARMY,18,58,3,315,
ASBCA,0,0,0,0,
DCAA,15,15,15,15,
DCMA,109,109,0,219,
DeCA,10,10,10,10,
DFAS,0,0,0,0,
DHA,30,34,270,46,
DIA,339,674,1,2769,
DISA,339,570,7,1351,
DLA,23,24,16,38,
DoD IG,182,442,0,1980,
DSS,0,0,0,0,
DTRA,190,190,190,190,
NAVY,16,16,1,107,
NGA,461,339,5,732,
NRO,127,306,15,1206,
NSA,54,99,2,682,
OSD/JS,102,581.43,,3186,
Total,0,402,,4147,
