Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
FAA,439,518,167,57,39,18,19,18,8,12,30,26,55,1406,
FHWA,25,8,1,3,0,2,0,0,0,0,0,1,0,40,
FMCSA,125,249,240,30,3,2,1,0,0,2,4,1,0,657,
FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FTA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
MARAD,2,1,1,0,0,0,0,0,0,0,0,1,9,14,
NHTSA,8,18,2,0,2,0,0,0,0,2,3,2,0,37,
OIG,1,0,1,2,0,0,0,0,0,1,4,1,0,10,
OST,47,20,20,8,8,3,7,2,1,0,3,3,2,124,
PHMSA,57,13,8,3,9,6,3,1,1,0,4,3,1,109,
RITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SLSDC,0,1,0,1,1,0,0,0,0,0,0,0,0,3,
Total,705,828,440,104,62,31,30,21,10,17,48,38,67,2401,
