Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
46 U.S.C.§503.32(a)(3)(i),Service contract information,N/A,1,FMC,1
46 U.S.C.§40306,Closed Session transcripts,N/A,1,FMC,1
