Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
41 U.S.C. 253b(m),Places restrictions on the release of proposal information submitted by a contractor in response to the requirement of a competitive solicitation.,"Hornbostel v. United States Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003)",9,USAID,9
26 U.S.C. 6103,Places restrictions on the release of tax return information.,"Church of Scientology v IRS, 484 U.S. 9 (1987)",39,USAID,39
