Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
HQ,6151,603,395,308,152,117,90,68,46,59,245,18,5,8257,
Total,6151,603,395,308,152,117,90,68,46,59,245,18,5,8257,
