Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
42 USC 3601(d),Information related to conciliation under the Fair Housing Act,None,6,FO,6
41 USC 253b(m),Proposals received from unsucessful offerors and not incorporated into the contract,"Hornbostel v. United States Department of Interior, 305 F. Supp. 2d 21 (DDC, 2003)",4,HQ,6
41 USC 253b(m),Proposals received from unsucessful offerors and not incorporated into the contract,"Hornbostel v. United States Department of Interior, 305 F. Supp. 2d 21 (DDC, 2003)",2,FO,6
