Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
Administrative Procedure Act (5 U.S.C § 574),Klamath River Basin Restoration Agreement,None,1,BIA,1
"American Indian Religious Freedom Act, Amendments of 1994 (42 U.S.C. §1996)",Location of plants used for ceremonial purposes,None,1,BLM,1
Archaeological Resources Protection Act (16 U.S.C. §470hh(a)),Cultural Resources Inventory InformationCultural Resources Inventory InformationRecords with archaeological site  location informationRecords with archaeological site  location information,"Starkey v. U.S. Department of the Interior, 238 F. Supp. 2d 1188 (S.D. Cal 2002)",1,BIA,20
Archaeological Resources Protection Act (16 U.S.C. §470hh(a)),Cultural Resources Inventory InformationCultural Resources Inventory InformationRecords with archaeological site  location informationRecords with archaeological site  location information,"Starkey v. U.S. Department of the Interior, 238 F. Supp. 2d 1188 (S.D. Cal 2002)",17,BLM,20
Archaeological Resources Protection Act (16 U.S.C. §470hh(a)),Cultural Resources Inventory InformationCultural Resources Inventory InformationRecords with archaeological site  location informationRecords with archaeological site  location information,"Starkey v. U.S. Department of the Interior, 238 F. Supp. 2d 1188 (S.D. Cal 2002)",1,BOR,20
Archaeological Resources Protection Act (16 U.S.C. §470hh(a)),Cultural Resources Inventory InformationCultural Resources Inventory InformationRecords with archaeological site  location informationRecords with archaeological site  location information,"Starkey v. U.S. Department of the Interior, 238 F. Supp. 2d 1188 (S.D. Cal 2002)",1,OSM,20
Indian Mineral Development Act (25 U.S.C. §2103(c)),"Indian Mineral Development Agreement with Black Rock, JT Energy and Dakota 3Leases signed under the Act",None,1,BIA,2
Indian Mineral Development Act (25 U.S.C. §2103(c)),"Indian Mineral Development Agreement with Black Rock, JT Energy and Dakota 3Leases signed under the Act",None,1,MMS,2
National Defense Authorization Act (41 U.S.C. §253b),"Unsuccessful bidders, individual and company names/unit price total amountsUnsuccessful contract proposalsUnsuccessful bids and contract proposalsContracts/bid informationCertain information in contractor proposals","Center for Public Integrity v. U.S. Department of Energy, 191 F. Supp. 2d 187 (D.D.C. 2002)",4,BLM,14
National Defense Authorization Act (41 U.S.C. §253b),"Unsuccessful bidders, individual and company names/unit price total amountsUnsuccessful contract proposalsUnsuccessful bids and contract proposalsContracts/bid informationCertain information in contractor proposals","Center for Public Integrity v. U.S. Department of Energy, 191 F. Supp. 2d 187 (D.D.C. 2002)",4,BOR,14
National Defense Authorization Act (41 U.S.C. §253b),"Unsuccessful bidders, individual and company names/unit price total amountsUnsuccessful contract proposalsUnsuccessful bids and contract proposalsContracts/bid informationCertain information in contractor proposals","Center for Public Integrity v. U.S. Department of Energy, 191 F. Supp. 2d 187 (D.D.C. 2002)",1,MMS,14
National Defense Authorization Act (41 U.S.C. §253b),"Unsuccessful bidders, individual and company names/unit price total amountsUnsuccessful contract proposalsUnsuccessful bids and contract proposalsContracts/bid informationCertain information in contractor proposals","Center for Public Integrity v. U.S. Department of Energy, 191 F. Supp. 2d 187 (D.D.C. 2002)",3,NPS,14
National Defense Authorization Act (41 U.S.C. §253b),"Unsuccessful bidders, individual and company names/unit price total amountsUnsuccessful contract proposalsUnsuccessful bids and contract proposalsContracts/bid informationCertain information in contractor proposals","Center for Public Integrity v. U.S. Department of Energy, 191 F. Supp. 2d 187 (D.D.C. 2002)",2,OS,14
National Historic Preservation Act (16 U.S.C. § 470w-3),PAL Cultural Resources StudyExact location and nature of cultural and archaeological sites/cultural resource inventories and surveysShipwreck locations,None,2,BIA,10
National Historic Preservation Act (16 U.S.C. § 470w-3),PAL Cultural Resources StudyExact location and nature of cultural and archaeological sites/cultural resource inventories and surveysShipwreck locations,None,6,BLM,10
National Historic Preservation Act (16 U.S.C. § 470w-3),PAL Cultural Resources StudyExact location and nature of cultural and archaeological sites/cultural resource inventories and surveysShipwreck locations,None,2,MMS,10
"National Parks Omnibus Act (16 U.S.C. §5937, Sec. 207)",Plant locations and names of rare endangered species,None,1,NPS,1
"Rule 6(e), Federal Rules of Criminal Procedure (18 U.S.C. §385)","Disclosure of information would reveal the identities of witnesses or jurors, substance of the testimony, strategy or direction of the investigation, or the  deliberations or questions of the jurors",None,10,FWS,10
