Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,
ARC,0,257,247,0,254,254,0,0,0,
DFRC,0,286,286,0,0,0,0,0,0,
GRC,0,27,27,0,10,14,0,0,0,
GSFC,0,235,224,0,164,218,0,0,0,
HQS,0,61,64,0,144,281,0,0,0,
JPL,0,63,78,0,527,639,0,0,0,
JSC,0,0,0,0,0,0,0,0,0,
KSC,0,0,0,0,54,59,0,0,0,
LaRC,0,151,76,0,214,285,0,0,0,
MSFC,0,0,0,0,63,63,0,0,0,
NSSC,0,0,0,0,0,0,0,0,0,
OIG,0,20,43,0,0,0,0,0,0,
SSC,0,0,0,0,0,0,0,0,0,
Total,389,63,131,0,144,227,0,0,0,
