Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
BPA,43,13,2,0,1,2,0,0,1,0,0,0,0,62,
CBFO,6,0,0,0,0,0,0,0,0,0,0,0,0,6,
CH,35,3,0,0,0,0,0,0,0,0,0,0,0,38,
EMCBC,12,7,3,0,4,1,0,0,1,0,0,0,0,28,
GFO,22,4,0,0,0,0,0,0,0,0,0,0,0,26,
HQ,259,78,48,31,27,25,17,13,14,10,23,4,40,589,
ID,22,1,0,0,0,0,0,0,0,0,0,0,0,23,
NETL,35,6,6,1,1,1,0,0,0,0,0,0,0,50,
NNSA/AL,4,10,12,17,22,19,17,11,17,18,33,125,16,321,
NR,4,0,0,2,0,1,0,0,0,0,0,0,0,7,
ORO,74,56,44,35,18,9,11,2,3,2,4,0,0,258,
OSTI,4,2,0,0,0,0,0,0,0,0,0,0,0,6,
PNSO,7,3,0,0,0,0,0,0,0,0,0,0,0,10,
RL,73,22,2,1,0,0,0,0,0,0,0,0,0,98,
SEPA,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
SPR,7,1,0,0,0,0,0,0,0,0,0,0,0,8,
SROO,10,9,5,2,2,1,1,1,2,0,6,3,5,47,
SWPA,7,0,0,0,0,0,0,0,0,0,0,0,0,7,
WAPA,13,1,0,0,0,0,0,0,0,0,0,0,0,14,
Total,639,216,122,89,75,59,46,27,38,30,66,132,61,1600,
