Year,Agency,Subagency,Full Grant,Partial Grant,Denial Exempt,No Records,All Records Referred,Withdrawn,Fee Related,Not Reasonably Described,Improper Request,Not Agency Record,Duplicate Request,Other Reason,Total
2015,SIGAR,TOTAL,3,16,3,11,0,1,0,1,0,0,0,1,36
2015,SIGIR,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,STB,TOTAL,29,13,2,0,1,3,1,1,0,15,0,0,65
2015,TVA,TOTAL,69,86,4,28,0,2,6,0,0,0,0,0,195
2015,USAB,TOTAL,4,1,1,4,0,0,0,0,1,0,0,0,11
2015,US ADF,TOTAL,1,0,0,1,0,0,0,0,0,0,0,0,2
2015,CO,TOTAL,9,2,0,6,11,2,0,3,0,1,0,0,34
2015,USIBWC,TOTAL,16,9,0,1,0,2,0,0,0,0,0,0,28
2015,USITC,TOTAL,11,7,2,8,1,0,0,0,0,1,0,0,30
2015,USPS,TOTAL,571,511,560,434,179,101,25,82,158,34,25,0,2680
2015,USTDA,TOTAL,3,1,0,2,0,0,0,0,0,0,0,0,6
