Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
AFRC,0,0,1,9,0,4,0,0,0,0,0,0,0,0,
ARC,0,0,1,18,5,12,0,0,0,0,0,3,0,0,
GRC,0,0,1,3,1,1,0,0,0,0,0,0,0,0,
GSFC,0,1,4,29,3,6,0,0,0,0,0,0,0,0,
HQ,2,0,4,2,5,21,1,0,1,0,2,1,0,0,
JPL,0,0,5,7,0,11,0,0,0,0,0,0,0,0,
JSC,0,0,4,21,5,2,0,0,0,1,1,0,0,0,
KSC,0,1,3,13,1,8,0,0,0,0,1,1,0,0,
LaRC,0,0,0,5,1,1,0,0,0,0,0,0,0,0,
MSFC,0,0,3,19,1,2,0,0,1,0,0,0,0,0,
NSSC,0,1,0,5,1,1,0,0,0,0,1,0,0,0,
OIG,0,0,0,0,4,0,9,0,20,5,2,0,0,0,
SSC,0,0,0,2,1,16,0,0,0,0,0,0,0,0,
Total,2,3,26,133,28,85,10,0,22,6,7,5,0,0,
