Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
16 U.S.C. § 4304 (Federal Cave Protection Act of 1988),Information concerning the specific location of any significant cave,None,4,BLM,4
16 U.S.C. § 5937 (National Parks Omnibus Management Act),"Information pertaining to: ""endangered, threatened, rare, or commercially valuable"" National Park System resources; ""mineral or paleontological objects within units of the National Park System""; or ""objects of cultural patrimony within units of the National Park System""","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004); Sw. Ctr. for Biological Diversity v. USDA, 170 F. Supp. 2d 931, 945 (D. Ariz. 2000), aff'd, 314 F.3d 1060, 1062 (9th Cir. 2002); Pease v. U.S. Dep't of Interior, No. 1:99CV113, slip op. at 2, 4 (D. Vt. Sept. 17, 1999).",5,NPS,5
41 U.S.C.§  2102 (amending 41 U.S.C. § 423(a)(1)) (Procurement Integrity Act),Contractor bid or proposal information; source selection information,"Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001)",1,BLM,4
41 U.S.C.§  2102 (amending 41 U.S.C. § 423(a)(1)) (Procurement Integrity Act),Contractor bid or proposal information; source selection information,"Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001)",1,BOR,4
41 U.S.C.§  2102 (amending 41 U.S.C. § 423(a)(1)) (Procurement Integrity Act),Contractor bid or proposal information; source selection information,"Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001)",2,NPS,4
"Fed. R. Crim. P. 32, enacted by Act of July 31, 1975, Pub. L. 94-64, 2, 89 Stat. 370",Presentence reports and recommendations,"DOJ v. Julian, 486 U.S. 1, 9 (1988).",5,FWS,6
"Fed. R. Crim. P. 32, enacted by Act of July 31, 1975, Pub. L. 94-64, 2, 89 Stat. 370",Presentence reports and recommendations,"DOJ v. Julian, 486 U.S. 1, 9 (1988).",1,OIG,6
16 U.S.C. § 470hh (Archaeological Resources Protection Act of 1979),Information pertaining to the nature and location of certain archaeological resources,"Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",4,BIA,29
16 U.S.C. § 470hh (Archaeological Resources Protection Act of 1979),Information pertaining to the nature and location of certain archaeological resources,"Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",19,BLM,29
16 U.S.C. § 470hh (Archaeological Resources Protection Act of 1979),Information pertaining to the nature and location of certain archaeological resources,"Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",5,NPS,29
16 U.S.C. § 470hh (Archaeological Resources Protection Act of 1979),Information pertaining to the nature and location of certain archaeological resources,"Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",1,OSM,29
16 U.S.C. § 470w-3 (National Historic Preservation Act Amendments),"Information about the location, character or ownership of a historic resource","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 32-33 (D.D.C. 2003) (dictum), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004)",8,BLM,9
16 U.S.C. § 470w-3 (National Historic Preservation Act Amendments),"Information about the location, character or ownership of a historic resource","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 32-33 (D.D.C. 2003) (dictum), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004)",1,OSM,9
16 U.S.C. § 470aaa-8 (Paleontological Resources Preservation Act),Information concerning the nature and specific location of a paleontological resource,None,2,BLM,2
41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702),Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts,"Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011);Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",5,FWS,23
41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702),Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts,"Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011);Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",6,NPS,23
41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702),Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts,"Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011);Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",3,OS,23
41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702),Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts,"Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011);Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",3,USGS,23
41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702),Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts,"Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011);Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",1,OIG,23
