Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
ATLANTA,1213,85,11,1,0,0,0,0,0,0,0,0,0,1310,
BIRMINGHAM,250,635,210,16,3,0,0,0,0,0,0,0,0,1114,
CHARLOTTE,945,86,0,0,0,0,0,0,0,0,1,0,0,1032,
CHICAGO,628,94,0,1,0,0,0,0,0,0,0,0,0,723,
DALLAS,1200,96,182,101,39,10,5,3,1,0,0,0,0,1637,
HOUSTON,647,98,24,2,0,1,0,0,0,0,0,0,0,772,
INDIANAPOLIS,1703,35,0,0,0,0,0,0,0,0,0,0,0,1738,
LOS ANGELES,1116,0,0,0,0,0,0,0,0,0,1,0,0,1117,
MEMPHIS,471,208,70,0,0,0,0,0,0,0,0,0,0,749,
MIAMI,1302,295,62,28,0,0,0,0,0,0,0,0,0,1687,
NEW YORK,338,171,71,43,47,26,25,18,4,0,0,0,0,743,
OLC/HDQ,297,114,16,4,6,0,0,0,0,1,0,0,0,438,
PHILADELPHIA,513,501,132,86,41,9,0,0,0,0,1,1,0,1284,
PHOENIX,491,45,0,0,0,0,0,0,0,0,0,0,0,536,
SAN FRANCISCO,454,114,46,49,49,24,4,2,0,0,2,0,0,744,
ST. LOUIS,870,8,3,2,1,0,0,0,0,0,0,0,0,884,
WFO,185,14,0,0,0,0,0,0,0,0,0,0,0,199,
Total,12623,2599,827,333,186,70,34,23,5,1,5,1,0,16707,
