Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
AF,12,16,,340,45,94,,997,15,15,,40,
AFRICOM,86,78,26,103,159,424,37,1085,,,,,
ARMY,4,6,,20,20,35,,1272,3,3,,6,
ASBCA,12,12,10,16,,,,,,,,,
CENTCOM,103,157,56,364,192,291,5,1835,,,,,
DCAA,7,8,1,19,23,34,20,49,,,,,
DCMA,10,12,1,20,549,117,13,1085,,,,,
DeCA,20,36,,229,,,,,,,,,
DFAS,9,11,1,36,26,35,4,250,,,,,
DHA,20,28,6,96,47,65,5,296,,,,,
DIA,10,9,1,19,310,805,22,3421,,,,,
DISA,58,61,1,272,26,34,5,158,,,,,
DLA,3,8,25,181,17,12,16,120,,3,15,35,
DoD IG,7,9,,20,112,174,19,1182,81,81,7,155,
DoDEA,20,22,8,51,42,36,22,43,,,,,
DSS,7,5,1,60,,,,,,,,,
DTIC,9,10,1,20,26,35,21,116,,,,,
DTRA,5,7,,30,81,115,3,905,,,,,
EUCOM,7,16,1,108,111,428,26,1379,,,,,
JPRA,,,,,70,70,70,70,,,,,
NAVY,7,28,1,1338,41,117,1,2006,12,22,1,191,
NGA,0,37,,93,174,201,,851,,,,,
NGB,18,18,18,18,324,257,14,695,,,,,
NORTHCOM,8,8,1,20,106,94,24,279,,,,,
NRO,9,11,2,26,97,139,31,768,39,39,39,39,
NSA,18,37,2,569,445,494,4,4060,142,205,21,630,
OSD/JS,7,7,,23,81,322,3,3142,,,,,
PACOM,3,2,1,4,173,125,4,758,,,,,
SOCOM,1,1,1,1,229,450,6,1807,,,,,
SOUTHCOM,12,19,2,20,105,142,119,703,,,,,
STRATCOM,4,6,,17,96,108,26,228,,,,,
TRANSCOM,14,14,14,14,110,173,28,395,,,,,
Total,0,13,0,1338,0,97,0,4060,0,35,0,630,
