Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
Office of the AG,Date of Receipt,2009-06-09,2009-05-28,2009-05-18,2009-05-12,2009-05-08,2009-05-01,2009-04-23,2009-04-22,2009-04-16,2009-03-30
Office of the AG,Number of Days Pending,831,839,846,850,852,857,863,864,868,881
Office of the DAG,Date of Receipt,2009-11-30,2009-11-24,2009-11-06,2009-10-30,2009-10-15,2009-08-05,2009-07-28,2009-06-18,2009-06-09,2009-04-22
Office of the DAG,Number of Days Pending,712,715,726,731,742,791,797,824,831,864
Office of the Assoc. AG,Date of Receipt,2011-08-23,2011-08-03,2011-07-28,2011-07-15,2011-06-15,2011-05-17,2011-04-13,2011-04-08,2011-01-12,2010-12-13
Office of the Assoc. AG,Number of Days Pending,277,291,295,304,325,345,369,372,432,452
Antitrust,Date of Receipt,2011-06-30,2011-07-22,2011-03-31,2011-03-08,2010-11-22,2010-08-26,2010-08-16,2010-08-10,2009-12-24,2009-11-17
Antitrust,Number of Days Pending,295,299,378,395,461,525,526,537,690,720
ATF,Date of Receipt,2011-05-03,2011-04-25,2011-04-13,2011-04-11,2011-04-11,2011-04-11,2011-04-04,2011-03-03,2011-03-02,2011-02-02
ATF,Number of Days Pending,355,361,369,371,371,371,376,398,399,418
BOP,Date of Receipt,2011-06-17,2011-06-01,2011-05-27,2011-05-17,2011-04-27,2011-04-04,2011-03-28,2011-03-03,2011-02-28,2010-10-29
BOP,Number of Days Pending,323,335,337,345,359,376,381,398,401,481
Civil,Date of Receipt,2010-08-09,2010-04-14,2009-05-29,2009-03-13,2008-09-18,2008-09-18,2008-09-18,2008-09-18,2008-09-18,2008-08-28
Civil,Number of Days Pending,538,619,838,892,1015,1015,1015,1015,1015,1030
Civil Rights,Date of Receipt,2010-10-26,2010-10-25,2010-10-22,2010-10-14,2010-09-23,2010-09-14,2010-08-18,2009-11-17,2009-11-02,2009-09-23
Civil Rights,Number of Days Pending,484,485,486,492,506,513,531,720,730,757
Criminal,Date of Receipt,2011-11-16,2011-10-19,2011-10-19,2011-10-14,2011-08-01,2011-07-22,2011-07-11,2011-06-01,2011-04-19,2011-04-15
Criminal,Number of Days Pending,219,238,238,241,293,299,308,335,365,367
CRS,Date of Receipt,,,,,,,,,,2012-09-25
CRS,Number of Days Pending,,,,,,,,,,3
DEA,Date of Receipt,2011-04-06,2011-04-08,2011-03-30,2011-03-01,2011-02-25,2011-01-20,2011-01-19,2010-12-22,2010-09-14,2010-03-12
DEA,Number of Days Pending,367,372,375,393,402,427,428,445,493,642
ENRD,Date of Receipt,2012-09-05,2012-08-28,2012-07-26,2012-04-27,2012-06-20,2012-05-04,2012-04-27,2012-04-26,2012-04-23,2011-11-16
ENRD,Number of Days Pending,16,19,45,60,70,102,107,108,111,167
EOIR,Date of Receipt,2011-12-28,2011-10-13,2011-08-01,2011-07-20,2011-07-19,2011-03-11,2011-03-03,2011-01-27,2011-01-03,2010-10-13
EOIR,Number of Days Pending,191,242,293,301,302,392,398,422,439,492
EOUSA,Date of Receipt,2009-11-09,2009-11-03,2009-10-26,2009-07-01,2009-06-02,2009-04-22,2009-04-20,2009-04-08,2009-03-11,2008-09-22
EOUSA,Number of Days Pending,725,729,735,815,836,864,866,874,894,1013
EOUST,Date of Receipt,,,,,,,2012-09-04,2012-09-11,2012-08-01,2012-05-25
EOUST,Number of Days Pending,,,,,,,1,5,12,87
FBI,Date of Receipt,2010-10-14,2010-10-07,2010-10-04,2010-09-08,2010-09-02,2010-07-09,2010-05-06,2010-05-04,2010-04-13,2010-03-11
FBI,Number of Days Pending,492,496,499,517,520,559,603,605,620,643
FCSC,Date of Receipt,,,,,,,,,,2012-08-24
FCSC,Number of Days Pending,,,,,,,,,,24
JMD,Date of Receipt,2012-02-21,2012-01-31,2012-01-11,2012-01-11,2011-12-22,2011-12-22,2011-12-21,2011-10-20,2011-10-13,2011-07-08
JMD,Number of Days Pending,154,169,182,182,194,194,195,237,242,309
NSD,Date of Receipt,2011-10-13,2011-10-13,2011-10-13,2011-10-13,2011-10-13,2011-10-13,2011-06-30,2010-08-02,2009-07-31,2009-06-10
NSD,Number of Days Pending,242,242,242,242,242,242,314,543,794,830
OCDETF,Date of Receipt,,,,,,,,2012-09-26,2012-04-20,2012-02-10
OCDETF,Number of Days Pending,,,,,,,,2,112,161
OFDT,Date of Receipt,,,,,,,,,,2012-07-18
OFDT,Number of Days Pending,,,,,,,,,,51
OIG,Date of Receipt,2012-05-22,2012-05-21,2012-05-14,2012-05-12,2012-04-12,2012-04-11,2011-10-28,2011-06-23,2011-06-16,2011-03-07
OIG,Number of Days Pending,90,91,96,97,118,119,231,319,324,396
OIP,Date of Receipt,2011-11-10,2011-10-13,2011-10-11,2011-08-26,2011-06-24,2011-04-15,2011-04-13,2011-03-21,2011-01-26,2010-11-06
OIP,Number of Days Pending,222,242,244,274,318,367,369,386,423,475
OJP,Date of Receipt,2012-05-21,2012-05-21,2012-04-26,2012-04-17,2012-03-09,2012-01-06,2011-05-19,2011-04-19,2010-12-03,2010-11-29
OJP,Number of Days Pending,91,91,108,115,142,185,343,365,458,462
OLA,Date of Receipt,2011-04-15,2011-04-15,2011-04-05,2011-03-23,2011-03-23,2011-03-18,2011-02-14,2010-12-13,2010-09-02,2010-07-20
OLA,Number of Days Pending,367,367,375,384,384,387,410,452,520,552
OLC,Date of Receipt,2012-03-29,2012-01-17,2011-12-14,2011-10-27,2011-08-26,2011-07-27,2010-05-24,2010-04-22,2009-12-30,2009-10-08
OLC,Number of Days Pending,128,178,200,232,274,296,591,613,691,746
OLP,Date of Receipt,2012-06-15,2012-06-06,2012-06-06,2012-04-12,2012-02-02,2011-12-05,2011-11-30,2011-11-01,2011-10-19,2011-08-08
OLP,Number of Days Pending,73,80,80,118,167,207,210,229,238,288
OPR,Date of Receipt,2011-02-25,2011-02-04,2011-01-18,2011-01-04,2010-10-11,2010-06-29,2010-03-11,2010-01-28,2009-09-30,2009-05-21
OPR,Number of Days Pending,402,416,429,438,494,566,643,672,752,843
OSG,Date of Receipt,2011-10-20,2011-06-24,2011-05-09,2011-05-09,2011-05-09,2010-11-12,2010-05-19,2010-04-22,2009-12-09,2009-10-20
OSG,Number of Days Pending,237,318,351,351,351,472,594,613,705,739
OVW,Date of Receipt,,2012-09-20,2012-09-19,2012-09-13,2012-09-12,2012-09-12,2012-09-10,2012-09-10,2012-09-06,2012-04-24
OVW,Number of Days Pending,,6,7,11,12,12,14,14,16,110
Public Affairs,Date of Receipt,2012-06-19,2012-06-06,2012-04-26,2012-04-12,2011-11-01,2011-10-26,2011-10-26,2011-10-12,2011-09-19,2011-07-20
Public Affairs,Number of Days Pending,71,80,108,118,229,233,233,243,259,301
PRAO,Date of Receipt,,,,,,,,,2012-09-18,2012-04-26
PRAO,Number of Days Pending,,,,,,,,,8,108
TAX,Date of Receipt,,,,,,,2012-08-20,2012-07-02,2012-05-11,2012-04-20
TAX,Number of Days Pending,,,,,,,28,62,97,112
USMS,Date of Receipt,2011-12-05,2011-11-15,2011-11-07,2011-11-03,2011-09-09,2011-08-24,2011-07-18,2011-06-07,2010-10-13,2009-06-05
USMS,Number of Days Pending,207,220,225,227,265,276,303,331,492,833
USNCB,Date of Receipt,,,,,,,2012-04-26,2012-03-08,2011-07-27,2010-12-17
USNCB,Number of Days Pending,,,,,,,108,143,296,448
USPC,Date of Receipt,2012-09-24,2012-09-24,2012-09-21,2012-09-10,2012-08-30,2012-08-21,2012-08-20,2012-07-16,2012-07-06,2011-03-22
USPC,Number of Days Pending,4,4,5,14,20,27,28,53,59,385
