Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
CIA,Date of Receipt,2006-04-25,2006-03-28,2006-02-06,2006-02-06,2005-11-10,2005-11-07,2005-09-08,2005-08-31,2005-03-24,2005-02-28
CIA,Number of Days Pending,2716,2744,2794,2794,2882,2885,2945,2953,3112,3157
