Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
Pardon Attorney,Date of Receipt,,,,,,,,,,2009-12-16
Pardon Attorney,Number of Days Pending,,,,,,,,,,199
Public Affairs,Date of Receipt,2010-07-02,2010-03-12,2010-03-03,2010-01-28,2009-12-15,2009-12-14,2009-11-25,2009-10-26,2009-10-20,2009-10-20
Public Affairs,Number of Days Pending,62,141,148,171,200,201,213,234,238,238
PRAO,Date of Receipt,,,,,,,,,2010-09-07,2009-08-17
PRAO,Number of Days Pending,,,,,,,,,17,282
TAX,Date of Receipt,,,,,,,,2010-09-08,2010-08-13,2010-08-05
TAX,Number of Days Pending,,,,,,,,16,33,39
USMS,Date of Receipt,2010-08-19,2010-08-09,2010-08-02,2010-07-12,2010-07-10,2010-06-28,2010-06-16,2010-06-01,2010-05-19,2010-03-04
USMS,Number of Days Pending,29,37,42,57,58,66,74,85,93,147
USNCB,Date of Receipt,2010-08-24,2010-08-20,2010-08-19,2010-07-29,2010-07-09,2010-06-16,2010-06-10,2010-04-13,2010-01-29,2010-01-14
USNCB,Number of Days Pending,26,28,29,44,58,74,78,119,170,180
USPC,Date of Receipt,2010-02-25,2010-02-16,2010-02-02,2010-01-26,2009-12-11,2009-10-20,2009-09-11,2009-08-12,2009-06-29,2009-05-15
USPC,Number of Days Pending,152,159,168,173,202,238,264,285,316,346
