Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
Office of the AG,18,29.05,,197,249,366.4,,1132,502,420.93,7,997,
Office of the DAG,17,22.01,,195,202,294.73,9,1048,517,440.78,27,887,
Office of the Assoc. AG,18,25.18,4,195,199,247.66,17,683,451,451,451,451,
Antitrust,3,4.62,,20,45,183.33,3,940,,,,,
ATF,,,,,28,50.05,,600,95,95,95,95,
BOP,4,17.07,,545,67,108.48,,784,9,44.09,,292,
Civil,1.5,4.07,,114,24,108.38,,1232,164,164,164,164,
Civil Rights,4,9.03,,135,279,278.86,,861,,,,,
COPS,,,,,6,7.87,,48,,,,,
Criminal,16,23.62,,306,63,101.03,7,787,,,,,
CRS,8,8.13,,19,16,16,11,21,,,,,
DEA,3,10.24,,198,59,83.6,,871,202,202,49,355,
ENRD,18,30.52,1,169,98,112.33,11,292,45.5,45.5,19,72,
EOIR,13,16.4,,662,12,11.17,,16,13,19.47,9,66,
EOUSA,,,,,63,107.58,1,1216,28,284.33,23,802,
EOUST,7,11.22,1,49,18,31.68,1,209,4.5,6.5,2,15,
FBI,17,44.48,,815,207,231.97,3,694,82,103.57,14,415,
FCSC,,,,,9,15.58,,124,,,,,
JMD,18,55.77,,325,52,91.55,1,389,,,,,
NSD,7.5,16.65,,249,136,126.71,4,209,,,,,
OCDETF,21.5,26.09,2,156,23.5,30.75,9,76,,,,,
OIG,11,11.45,,30,65,72.51,14,497,,,,,
OIP,13,26.16,,602,232,213.68,2,674,,,,,
OJP,11,18.45,,135,51.5,82.19,,708,,,,,
OLA,21,37.87,,196,211.5,238.63,14,680,427,427,256,598,
OLC,13,22.91,,145,173,199.47,6,805,92.5,239,11,760,
OLP,19,20.32,3,70,36,111.83,4,431,,,,,
OPR,16,32.08,,323,147.5,255.23,2,951,13,13,13,13,
OSG,22,28.84,2,340,527.5,465.5,29,955,86,86,86,86,
OVW,16,16.8,,154,,,,,,,,,
Pardon Attorney,2,3.46,,16,,,,,,,,,
Public Affairs,19,21.86,15,44,228,212.74,20,551,250,250,244,256,
PRAO,5,17.75,,149,,,,,,,,,
TAX,4,8.74,,77,42,58.81,4,171,,,,,
USMS,3,77,,688,85.5,123.25,16,374,28.5,28.5,16,41,
USNCB,2,7.99,,450,5,30.78,,220,3,4.17,2,10,
USPC,3,11.12,,124,25,39.06,,393,,,,,
Total,12,22,0,815,64,116,0,1232,31,143,0,997,
