Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
HQ,485,12,9,23,8,7,6,5,3,3,12,7,34,614,
Region 1,155,4,18,1,0,0,0,0,0,0,0,0,0,178,
Region 2,514,0,0,0,1,0,0,0,0,0,0,0,0,515,
Region 3,81,32,11,33,1,0,0,0,0,0,0,0,0,158,
Region 4,352,0,0,0,0,0,0,0,0,0,0,0,0,352,
Region 5,774,54,15,1,1,2,1,0,0,0,0,2,0,850,
Region 6,7,0,0,0,0,1,0,2,1,0,7,0,6,24,
Region 7,431,10,2,0,0,2,0,1,0,0,0,0,0,446,
Region 8,164,0,0,0,0,6,10,0,0,0,0,1,0,181,
Region 9,251,0,0,0,0,0,0,0,0,0,0,0,0,251,
Region 10,202,0,1,0,1,0,0,1,0,3,2,1,1,212,
Total,3416,112,56,58,12,18,17,9,4,6,21,11,41,3781,
