Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
39 U.S.C. § 410 (c)(1),Records relating to names and addresses of postal customers.,None.,256,PS,256
39 U.S.C. § 410 (c)(2),Records relating to commercial information that is proprietary to the Postal Service.,"Wickwire Gavin v. USPS, 356 F.3d588 (4th Cir. 2004); Airline Pilots Ass?n, Int?l v. USPS and FedEx, 2004 U.S. Dist. LEXIS 26067 (D.D.C. June 24, 2004)",122,PS,133
39 U.S.C. § 410 (c)(2),Records relating to commercial information that is proprietary to the Postal Service.,"Wickwire Gavin v. USPS, 356 F.3d588 (4th Cir. 2004); Airline Pilots Ass?n, Int?l v. USPS and FedEx, 2004 U.S. Dist. LEXIS 26067 (D.D.C. June 24, 2004)",1,PIS,133
39 U.S.C. § 410 (c)(2),Records relating to commercial information that is proprietary to the Postal Service.,"Wickwire Gavin v. USPS, 356 F.3d588 (4th Cir. 2004); Airline Pilots Ass?n, Int?l v. USPS and FedEx, 2004 U.S. Dist. LEXIS 26067 (D.D.C. June 24, 2004)",10,OIG,133
39 U.S.C. § 412,Records containing lists of postal customers.,None.,15,PS,15
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319",Grand jury information.,"Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).",2,PS,2
"Inspector General Act of 1978, Section 7(b)",Employee complaint information,None.,5,OIG,5
