Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
OPM,1581,1228,1080,175,84,57,32,44,80,76,44,4,10,4495,
Total,1581,1228,1080,175,84,57,32,44,80,76,44,4,10,4495,
