Agency,Component,Year,1-20,21-40,41-60,61-80,81-100,101-120,121-140,141-160,161-180,181-200,201-300,301-400,400+,
NASA,NASA,2014,346,13,2,0,0,0,0,0,0,0,0,0,0
FCC,FCC,2014,430,132,36,19,5,5,2,1,0,1,3,1,1
FDIC,FDIC,2014,439,28,1,0,0,0,0,0,0,0,0,0,0
ED,ED,2014,499,89,0,0,0,0,1,0,2,0,0,0,0
CSOSA,CSOSA,2014,547,107,15,3,10,3,5,3,34,8,10,1,1
U.S. CPSC,U.S. CPSC,2014,608,20,21,12,8,5,1,2,0,0,3,1,1
State,State,2014,788,2320,2104,2157,1431,1058,376,312,241,186,492,171,226
PBGC,PBGC,2014,954,29,0,0,0,0,0,0,0,0,0,0,0
DOC,DOC,2014,967,13,3,2,2,0,0,0,0,0,0,0,0
DOE,DOE,2014,1098,202,108,45,26,17,3,5,6,7,15,9,26
SBA,SBA,2014,1112,189,6,5,0,0,0,0,0,0,0,0,0
HUD,HUD,2014,1326,291,105,42,26,10,16,11,9,7,11,2,2
CIA,CIA,2014,1346,575,153,55,24,4,5,9,3,0,10,8,30
USPS,USPS,2014,1786,234,59,25,19,12,11,5,3,5,10,1,2
Treasury,Treasury,2014,2330,262,81,36,29,19,24,12,14,9,29,11,14
EPA,EPA,2014,4069,0,0,0,0,0,0,0,0,0,0,0,0
NLRB,NLRB,2014,4111,266,22,14,3,3,4,1,0,0,0,0,0
U.S. DOL,U.S. DOL,2014,4993,877,312,123,75,62,39,27,20,14,40,7,34
OPM,OPM,2014,5237,213,68,22,15,18,11,8,7,1,28,5,1
DOT,DOT,2014,6555,1075,408,395,166,73,35,20,5,9,24,16,35
SEC,SEC,2014,12422,1240,522,221,105,67,44,38,14,11,37,11,15
EEOC,EEOC,2014,12623,2599,827,333,186,70,34,23,5,1,5,1,0
VA,VA,2014,13345,1791,595,284,152,82,37,31,30,18,99,35,28
USDA,USDA,2014,15617,810,350,190,110,88,77,61,51,29,101,39,140
NARA,NARA,2014,16446,903,337,149,78,59,40,17,13,45,79,8,172
HHS,HHS,2014,18819,3316,1128,947,863,586,742,594,507,444,1807,290,175
SSA,SSA,2014,19840,3273,726,121,73,46,0,0,0,0,2,0,0
DOJ,DOJ,2014,27086,9110,3658,1833,1115,661,459,355,348,260,649,228,109
DoD,DoD,2014,33379,1380,421,199,129,65,70,32,14,20,60,26,114
DHS,DHS,2014,44843,11920,4290,1367,1379,2807,3448,2291,697,579,1603,437,26
