Agency,Component,Year,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,Number Adjudicate within 10 Calendar Days,
US RRB,US RRB,2014,0,0,,,0
USITC,USITC,2014,0,2,2,2,2
FMSHRC,FMSHRC,2014,0,0,,,
USIBWC,USIBWC,2014,0,1,6,6,1
FFIEC,FFIEC,2014,0,0,,,
CIA,CIA,2014,0,21,2.57,7.84,16
STB,STB,2014,0,0,,,0
NIGC,NIGC,2014,0,2,10,10,1
IMLS,IMLS,2014,0,0,,,
GSA,GSA,2014,0,0,,,
FERC,FERC,2014,0,16,8,7,15
NASA,NASA,2014,0,10,1,1.8,10
FHFA,FHFA,2014,0,20,0,1.8,19
MCC,MCC,2014,0,0,,,
ABMC,ABMC,2014,0,0,,,
PC,PC,2014,0,0,,,
PBGC,PBGC,2014,0,11,1,1.45,11
ONHIR,ONHIR,2014,0,0,,,
NEA,NEA,2014,0,1,3,3,1
SSS,SSS,2014,0,0,,,
SSA,SSA,2014,0,0,,,
NCPC,NCPC,2014,0,0,,,
USTDA,USTDA,2014,0,0,,,
USTR,USTR,2014,0,3,81,107,0
NSF,NSF,2014,0,1,10,10,1
PCLOB,PCLOB,2014,0,0,,,0
OSHRC,OSHRC,2014,0,1,8,8,1
OMB,OMB,2014,0,0,,,
OGE,OGE,2014,0,0,,,0
US ADF,US ADF,2014,0,0,,,
BBG,BBG,2014,0,93,8,8,91
ONDCP,ONDCP,2014,0,0,,,
AFRH,AFRH,2014,0,0,,,
RATB,RATB,2014,0,1,5,5,1
FMCS,FMCS,2014,0,0,,,
IAF,IAF,2014,0,0,,,
FTC,FTC,2014,0,15,5,4.4,15
NMB,NMB,2014,0,0,,,
NEH,NEH,2014,0,1,1,1,1
CSOSA,CSOSA,2014,0,0,,,
CPPBSD,CPPBSD,2014,0,0,,,
ACUS,ACUS,2014,0,0,,,
CIGIE,CIGIE,2014,0,0,,,
ED,ED,2014,0,3,18,13.67,1
FRTIB,FRTIB,2014,0,0,,,0
FOMC,FOMC,2014,0,0,,,
CO,CO,2014,0,0,,,
CFTC,CFTC,2014,0,11,9,7.73,11
U.S. CPSC,U.S. CPSC,2014,0,3,1,1,3
Ex-Im Bank,Ex-Im Bank,2014,0,1,26,26,0
ODNI,ODNI,2014,0,4,73.9,63.25,1
CNCS,CNCS,2014,1,0,4,4,1
MSPB,MSPB,2014,1,21,1,4.35,20
PRC,PRC,2014,1,0,19,19,0
CEQ,CEQ,2014,1,4,4,6.8,5
CFPB,CFPB,2014,1,8,1,3.11,8
USCCR,USCCR,2014,1,2,5,4,3
OSTP,OSTP,2014,1,0,2,2,1
USNRC,USNRC,2014,1,0,1,1,1
OPIC,OPIC,2014,1,0,1,1,1
SIGAR,SIGAR,2014,1,0,10,10,1
SBA,SBA,2014,2,1,2,24,2
NCUA,NCUA,2014,2,0,2,2,2
NLRB,NLRB,2014,2,0,4,4,2
NRPC,NRPC,2014,2,4,2,3.67,6
FEC,FEC,2014,3,2,3,4.6,5
LSC,LSC,2014,3,0,12,15.7,0
SEC,SEC,2014,3,253,2,2.99,245
FRB,FRB,2014,3,6,3,3,9
FCSIC,FCSIC,2014,4,0,8,7.75,4
FMC,FMC,2014,4,3,2,3.5,7
FLRA,FLRA,2014,4,2,8,8.5,5
TVA,TVA,2014,6,0,7,7,6
USPS,USPS,2014,6,15,1,3.67,18
DNFSB,DNFSB,2014,6,1,17,18,2
FCA,FCA,2014,7,0,8,6.29,7
HUD,HUD,2014,8,229,1,3.17,221
EEOC,EEOC,2014,9,41,1,2.34,30
OSC,OSC,2014,9,3,8,72.5,7
NTSB,NTSB,2014,9,0,413,409.78,0
USAID,USAID,2014,10,10,1,3.3,19
FCC,FCC,2014,12,13,9,19.28,18
CSB,CSB,2014,12,1,1,1,13
State,State,2014,14,392,6,9.15,322
DOE,DOE,2014,15,87,7,15.52,70
NARA,NARA,2014,21,13,1,3.26,32
EPA,EPA,2014,22,274,5,6.68,235
DOI,DOI,2014,22,59,2,7,69
FDIC,FDIC,2014,26,64,1,3.47,86
VA,VA,2014,43,76,1,10.86,94
USDA,USDA,2014,53,319,1,4.9,362
Treasury,Treasury,2014,58,127,1,2.3,174
OPM,OPM,2014,61,23,1,1,84
DOC,DOC,2014,64,93,2,17,137
DOT,DOT,2014,72,178,1,2.10267,238
DHS,DHS,2014,91,3404,5,12,2840
U.S. DOL,U.S. DOL,2014,122,314,14,51.1,192
DoD,DoD,2014,131,995,,5,995
DOJ,DOJ,2014,147,949,1,13.85,867
HHS,HHS,2014,188,488,10,12,376
