Agency,Component,Year,Simple-Median No. of Days,Simple-Average No. of Days,Simple-Lowest No. of Days,Simple-Highest No. of Days,Complex-Median No. of Days,Complex-Average No. of Days,Complex-Lowest No. of Days,Complex-Highest No. of Days,Expedited Processing-Median No. of Days,Expedited Processing-Average No. of Days,Expedited Processing-Lowest No. of Days,Expedited Processing-Highest No. of Days,
DoD,DoD,2012,,11,-1,2939,,115,-1,4099,,14,-1,391
BBG,BBG,2012,,,,,26,32,3,118,30,36,37,49
USTDA,USTDA,2012,0,0,0,0,13,20.6,7,84,0,0,0,0
DOI,DOI,2012,1,2,-1,29,17,44,-1,1497,12,48,-1,369
FMSHRC,FMSHRC,2012,1,3.6,1,18,18.5,16,11,31,12.5,12.5,8,17
USCCR,USCCR,2012,1,7,1,6,10,22,3,63,,,,
SBA,SBA,2012,2,4.2,-1,222,,,,,,,,
SSS,SSS,2012,2,2,1,4,0,0,0,0,0,0,0,0
FRB,FRB,2012,2,3,1,30,31,62,1,765,28,28,26,31
STB,STB,2012,3,5.9,1,20,,,,,,,,
PRC,PRC,2012,3,5,0,15,27,27,27,27,0,0,0,0
ONHIR,ONHIR,2012,3,5.5,1,28,0,0,0,0,0,0,0,0
NCPC,NCPC,2012,3,3,1,6,0,0,0,0,0,0,0,0
FTC,FTC,2012,3,5.29,1,129,26.5,49.48,1,463,16,11.4,1,18
ACUS,ACUS,2012,3,2,1,5,0,0,0,0,3,3,3,3
VA,VA,2012,4,10.61,-1,444,12,28.1,-1,733,2.5,34.77,-1,393
NASA,NASA,2012,4,9.92,-1,145,13,33.99,-1,896,,,,
NLRB,NLRB,2012,4,6,-1,157,0,0,0,0,2,5,-1,20
ODNI,ODNI,2012,4,16.54,0,772,42.5,190.28,0,1163,23,208,22,579
Treasury,Treasury,2012,5,17.26,0,398,14,25.75,0,2536,6,31.8,0,895
USIBWC,USIBWC,2012,5,5.6,1,12,30,31.9,14,62,0,0,0,0
FDIC,FDIC,2012,5,8.81,-1,73,1,10.15,-1,56,1,8.13,-1,102
FHFA,FHFA,2012,6,11.03,-1,165,21,39.25,-1,271,,,,
LSC,LSC,2012,6,8.11,1,30,21,22,17,29,6,9,1,19
SEC,SEC,2012,6,14,-1,399,147,325,1,776,6,13,1,81
