Agency,Component,Year,Request Ex. 1,Request Ex. 2,Request Ex. 3,Request Ex. 4,Request Ex. 5,Request Ex. 6,Request Ex. 7A,Request Ex. 7B,Request Ex. 7C,Request Ex. 7D,Request Ex. 7E,Request Ex. 7F,Request Ex. 8,Request Ex. 9,
NEH,NEH,2014,0,0,0,6,4,22,0,0,0,0,0,0,0,0
CSOSA,CSOSA,2014,0,55,0,1,28,546,0,0,546,31,33,34,0,0
CPPBSD,CPPBSD,2014,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ACUS,ACUS,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CIGIE,CIGIE,2014,0,0,0,0,7,9,2,0,3,2,2,0,0,0
ED,ED,2014,0,4,23,177,112,464,215,3,390,4,27,1,0,0
FRTIB,FRTIB,2014,0,0,0,1,4,10,0,0,0,0,0,0,0,0
DOT,DOT,2014,0,8,176,214,354,1623,85,2,519,99,8,7,0,0
FOMC,FOMC,2014,0,0,0,3,4,2,0,0,0,0,0,0,0,0
CO,CO,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFTC,CFTC,2014,0,0,10,33,16,28,7,0,15,0,6,0,0,0
CSB,CSB,2014,0,0,0,3,1,1,4,0,1,0,1,1,0,0
U.S. CPSC,U.S. CPSC,2014,0,0,220,120,235,164,25,3,4,20,0,0,0,0
DNFSB,DNFSB,2014,0,0,0,0,4,14,1,0,0,0,1,0,0,0
Ex-Im Bank,Ex-Im Bank,2014,0,0,0,15,9,7,3,0,6,0,3,0,0,0
EPA,EPA,2014,1,2,32,94,199,180,66,2,46,26,10,0,0,3
DOI,DOI,2014,1,24,76,203,340,973,126,1,329,14,64,25,0,18
FCC,FCC,2014,1,149,2,49,52,229,22,0,24,5,12,0,0,0
PCLOB,PCLOB,2014,1,0,1,0,2,2,0,0,1,0,0,0,0,0
ONDCP,ONDCP,2014,1,0,0,0,0,13,1,1,1,0,1,0,0,0
SIGAR,SIGAR,2014,1,0,0,2,0,16,3,0,4,0,0,0,0,0
GSA,GSA,2014,2,8,10,205,119,281,10,4,17,3,1,68,0,0
NASA,NASA,2014,2,3,26,133,28,85,10,0,22,6,7,5,0,0
OSTP,OSTP,2014,3,0,1,1,19,23,0,0,0,0,0,0,0,0
USDA,USDA,2014,6,33,382,413,441,1604,120,3,678,43,135,64,0,5
DOE,DOE,2014,6,16,46,229,155,322,5,0,26,4,6,9,0,0
USNRC,USNRC,2014,16,17,5,38,57,83,27,0,105,35,44,49,0,0
Treasury,Treasury,2014,19,19,3103,206,810,888,492,2,1156,52,1256,8,67,0
DHS,DHS,2014,59,325,5131,396,46293,89953,341,978,108259,248,108398,125,0,0
ODNI,ODNI,2014,67,0,186,6,29,69,3,1,5,4,25,1,0,0
NARA,NARA,2014,360,19,254,8,24,254,5,0,111,182,0,1,1,0
State,State,2014,389,27,9227,72,260,2629,45,10,180,21,254,24,0,0
DOJ,DOJ,2014,487,150,1343,302,1082,6909,862,44,8230,2145,3611,1919,1,0
CIA,CIA,2014,1974,2,2224,9,82,176,2,0,9,12,9,3,0,0
DoD,DoD,2014,2625,165,3384,1018,3331,11179,753,38,5954,382,2079,108,1,4
