Agency,Component,Year,Simple-Median No. of Days,Simple-Average No. of Days,Simple-Lowest No. of Days,Simple-Highest No. of Days,Complex-Median No. of Days,Complex-Average No. of Days,Complex-Lowest No. of Days,Complex-Highest No. of Days,Expedited Processing-Median No. of Days,Expedited Processing-Average No. of Days,Expedited Processing-Lowest No. of Days,Expedited Processing-Highest No. of Days,
CSOSA,CSOSA,2015,17,18.17,2,187,,,,,,,,
NIGC,NIGC,2015,18,32,1,191,167,143,24,222,,,,
HUD,HUD,2015,18,32.82,-1,294,71,102.19,-1,546,6,12,1,31
GSA,GSA,2015,19,25.42,-1,40,32,41.01,1,221,19,19.18,-1,89
FERC,FERC,2015,19,21,1,58,18,93,17,453,0,0,0,0
PRC,PRC,2015,19,17,11,20,,,,,,,,
ONDCP,ONDCP,2015,19,67,1,344,,,,,,,,
DOE,DOE,2015,19,39.94,-1,1157,105.5,224.14,3,2043,17,102.6,9,343
CO,CO,2015,19,21,3,43,,,,,,,,
DOJ,DOJ,2015,20,36.12,-1,702,98,154.49,-1,1364,48.5,110.91,-1,1103
FCC,FCC,2015,20,25.31,-1,267,277,204.5,30,290,2,3.33,-1,8
SIGAR,SIGAR,2015,20.5,26.6,18,59,41,59.4,20,168,22,22,22,22
USAID,USAID,2015,21,60.78,-1,227,243.5,319.91,8,1137,76,89.4,71,119
US RRB,US RRB,2015,22,30.44,1,141,,,,,,,,
MSPB,MSPB,2015,22,26.64,-1,84,219.5,217,190,239,14.5,15.67,-1,35
OSTP,OSTP,2015,22,36.8,2,114,98,138.7,52,348,,,,
USTR,USTR,2015,22,26,1,75,66,240,17,1400,,,,
USDA,USDA,2015,22,9.76,1,1101,26,81.03,1,1393,11,49,1,349
FDIC,FDIC,2015,23,23.88,1,97,32,36.23,7,88,22,24.27,3,49
FRTIB,FRTIB,2015,23,23,21,25,,,,,,,,
Ex-Im Bank,Ex-Im Bank,2015,24,74.28,-1,702,181,316.45,19,895,,,,
OSC,OSC,2015,36,87.62,1,328,402,467,14,941,77.5,99,18,220
CFTC,CFTC,2015,36,51.49,-1,290,136,142.16,13,333,,,,
OMB,OMB,2015,40,79,1,406,0,0,0,0,0,0,0,0
DOT,DOT,2015,41,61.91,-1,768,105,116,-1,1172,45.5,185.125,3,603
CEQ,CEQ,2015,44,89.27,33,357,67,202.71,2,909,,,,
PC,PC,2015,57,83,-1,467,200,285,38,663,,,,
MCC,MCC,2015,92,68,-1,181,,,,,,,,
State,State,2015,154,165,1,1781,408,589,11,2374,40,40,40,40
