Agency,Component,Year,Oldest Appeal Days,2nd Appeal Days,3rd Appeal Days,4th Appeal Days,5th Appeal Days,6th Appeal Days,7th Appeal Days,8th Appeal Days,9th Appeal Days,10th Appeal Days,
US RRB,US RRB,2014,,,,,,,,,,
USITC,USITC,2014,,,,,,,,,,
FMSHRC,FMSHRC,2014,,,,,,,,,,
USIBWC,USIBWC,2014,,,,,,,,,,
FCSIC,FCSIC,2014,,,,,,,,,,
FMC,FMC,2014,,,,,,,,,,
FFIEC,FFIEC,2014,,,,,,,,,,
CNCS,CNCS,2014,,,,,,,,,,
STB,STB,2014,,,,,,,,,,
SBA,SBA,2014,,,,,,,,,,
IMLS,IMLS,2014,,,,,,,,,,
FERC,FERC,2014,,,,,,,,,,
MCC,MCC,2014,,,,,,,,,,
LSC,LSC,2014,,,,,,,,,,
PRC,PRC,2014,,,,,,,,,,
CEQ,CEQ,2014,,,,,,,,,,
USCCR,USCCR,2014,,,,,,,,,,
ABMC,ABMC,2014,,,,,,,,,,
PC,PC,2014,,,,,,,,,,
OSTP,OSTP,2014,,,,,,,,,,
ONHIR,ONHIR,2014,,,,,,,,,,
NEA,NEA,2014,,,,,,,,,,
SSS,SSS,2014,,,,,,,,,,
NCPC,NCPC,2014,,,,,,,,,,
FLRA,FLRA,2014,,,,,,,,,,
USTDA,USTDA,2014,,,,,,,,,,
USTR,USTR,2014,,,,,,,,,,
OSHRC,OSHRC,2014,,,,,,,,,,
OPIC,OPIC,2014,,,,,,,,,,
OGE,OGE,2014,,,,,,,,,,
US ADF,US ADF,2014,,,,,,,,,,
BBG,BBG,2014,,,,,,,,,,
ONDCP,ONDCP,2014,,,,,,,,,,
AFRH,AFRH,2014,,,,,,,,,,
RATB,RATB,2014,,,,,,,,,,
FMCS,FMCS,2014,,,,,,,,,,
FCA,FCA,2014,,,,,,,,,,
IAF,IAF,2014,,,,,,,,,,
FRB,FRB,2014,,,,,,,,,,
NMB,NMB,2014,,,,,,,,,,
NEH,NEH,2014,,,,,,,,,,
CSOSA,CSOSA,2014,,,,,,,,,,
CPPBSD,CPPBSD,2014,,,,,,,,,,
ACUS,ACUS,2014,,,,,,,,,,
CIGIE,CIGIE,2014,,,,,,,,,,
FRTIB,FRTIB,2014,,,,,,,,,,
FOMC,FOMC,2014,,,,,,,,,,
CO,CO,2014,,,,,,,,,,
CSB,CSB,2014,,,,,,,,,,
U.S. CPSC,U.S. CPSC,2014,,,,,,,,,,
SIGAR,SIGAR,2014,,,,,,,,,,
PBGC,PBGC,2014,1,,,,,,,,,
TVA,TVA,2014,2,,,,,,,,,
NIGC,NIGC,2014,8,,,,,,,,,
FDIC,FDIC,2014,10,10,,,,,,,,
OMB,OMB,2014,11,5,2,,,,,,,
NASA,NASA,2014,13,,,,,,,,,
FHFA,FHFA,2014,15,,,,,,,,,
NCUA,NCUA,2014,16,,,,,,,,,
FTC,FTC,2014,16,5,,,,,,,,
CFPB,CFPB,2014,18,9,6,,,,,,,
NLRB,NLRB,2014,22,7,5,,,,,,,
DNFSB,DNFSB,2014,27,,,,,,,,,
PCLOB,PCLOB,2014,30,10,,,,,,,,
MSPB,MSPB,2014,78,,,,,,,,,
OPM,OPM,2014,96,50,,,,,,,,
EEOC,EEOC,2014,160,160,35,15,12,11,7,5,5,5
SSA,SSA,2014,176,169,121,121,112,107,94,94,93,93
NSF,NSF,2014,183,,,,,,,,,
NTSB,NTSB,2014,221,211,,,,,,,,
GSA,GSA,2014,252,202,,,,,,,,
Ex-Im Bank,Ex-Im Bank,2014,260,13,,,,,,,,
DOJ,DOJ,2014,264,127,125,125,125,123,123,123,123,122
HUD,HUD,2014,269,239,238,170,93,72,69,68,47,42
USNRC,USNRC,2014,290,68,19,,,,,,,
FCC,FCC,2014,432,152,68,48,25,0,,,,
NARA,NARA,2014,484,307,277,267,267,265,212,175,140,134
SEC,SEC,2014,486,426,161,157,140,140,123,111,107,81
DOE,DOE,2014,554,459,243,239,219,13,11,7,5,1
FEC,FEC,2014,652,211,155,131,,,,,,
DOT,DOT,2014,681,513,507,497,494,352,351,308,307,302
CFTC,CFTC,2014,727,697,643,435,16,1,,,,
USAID,USAID,2014,748,727,692,663,663,592,591,461,145,140
NRPC,NRPC,2014,752,321,321,222,79,,,,,
USPS,USPS,2014,764,687,505,188,137,127,127,103,72,70
U.S. DOL,U.S. DOL,2014,950,728,718,718,718,718,718,718,718,718
ODNI,ODNI,2014,1085,1060,980,878,810,786,700,509,484,477
DOC,DOC,2014,1181,498,478,473,437,433,396,372,369,357
State,State,2014,1312,1286,1230,1096,1062,1045,1028,1013,1008,958
ED,ED,2014,1357,1171,973,965,944,934,931,913,893,630
DHS,DHS,2014,1480,1440,1412,1404,1328,1282,1134,1025,1007,986
DOI,DOI,2014,1503,1502,1438,1397,1324,1230,1143,1143,1124,1098
VA,VA,2014,1535,1369,1368,1358,1357,1348,1342,1310,1297,1287
Treasury,Treasury,2014,1585,1146,964,931,824,807,804,800,799,774
HHS,HHS,2014,1669,1662,1521,1521,1517,1424,1415,1415,1393,1245
OSC,OSC,2014,2295,1997,1816,1677,1254,1006,544,505,489,426
EPA,EPA,2014,2357,2218,2218,2161,2151,2098,2098,2073,2049,1850
USDA,USDA,2014,2540,2226,1971,1957,1934,1907,1811,1753,1593,1540
DoD,DoD,2014,2829,2795,2793,2793,2788,2777,2768,2627,2572,2562
CIA,CIA,2014,2878,2876,2801,2771,2725,2591,2548,2535,2521,2395
