Agency,Component,Year,Request Pending on Start,Request Received in FY,Request Processed in FY,Request Pending for Next,Released in Full ratio,Released in Part ratio,Denied in Full ratio,
FCSIC,FCSIC,2014,0,11,11,0,0.8571,0.1429,0.0000
FFIEC,FFIEC,2014,0,18,18,0,0.3750,0.6250,0.0000
LSC,LSC,2014,0,54,54,0,0.4884,0.3721,0.1395
PRC,PRC,2014,0,31,31,0,0.9231,0.0000,0.0769
USCCR,USCCR,2014,0,44,43,1,0.7619,0.2381,0.0000
ONHIR,ONHIR,2014,0,163,163,0,0.7730,0.2270,0.0000
SSS,SSS,2014,0,49,49,0,0.9184,0.0000,0.0816
NCPC,NCPC,2014,0,14,14,0,1.0000,0.0000,0.0000
PCLOB,PCLOB,2014,0,7,6,1,0.0000,1.0000,0.0000
US ADF,US ADF,2014,0,14,14,0,0.3077,0.6923,0.0000
AFRH,AFRH,2014,0,13,13,0,0.8750,0.1250,0.0000
RATB,RATB,2014,0,22,21,1,0.4286,0.3571,0.2143
IAF,IAF,2014,0,8,8,0,1.0000,0.0000,0.0000
NMB,NMB,2014,0,38,38,0,0.9583,0.0417,0.0000
CPPBSD,CPPBSD,2014,0,16,16,0,0.8571,0.1429,0.0000
ACUS,ACUS,2014,0,17,17,0,0.6000,0.4000,0.0000
USITC,USITC,2014,1,39,39,1,0.6364,0.2727,0.0909
ABMC,ABMC,2014,1,9,10,0,0.2500,0.7500,0.0000
OSTP,OSTP,2014,1,93,89,5,0.2162,0.7027,0.0811
FCA,FCA,2014,1,43,44,0,0.8214,0.1786,0.0000
NEH,NEH,2014,1,49,47,3,0.3235,0.6765,0.0000
CSB,CSB,2014,1,64,54,11,0.6579,0.1579,0.1842
SIGAR,SIGAR,2014,1,33,32,2,0.0870,0.7826,0.1304
USIBWC,USIBWC,2014,2,34,33,3,0.8095,0.1905,0.0000
STB,STB,2014,2,34,36,0,0.7895,0.2105,0.0000
IMLS,IMLS,2014,2,51,51,2,0.6486,0.3514,0.0000
NCUA,NCUA,2014,2,108,108,2,0.4824,0.4235,0.0941
USTDA,USTDA,2014,2,32,24,10,0.7895,0.2105,0.0000
OPIC,OPIC,2014,2,49,46,5,0.3438,0.6563,0.0000
FMCS,FMCS,2014,2,141,137,6,0.6957,0.2754,0.0290
US RRB,US RRB,2014,3,155,149,9,0.9756,0.0081,0.0163
FLRA,FLRA,2014,3,105,106,2,0.7759,0.2241,0.0000
OSHRC,OSHRC,2014,3,61,62,2,0.7111,0.2667,0.0222
FRTIB,FRTIB,2014,3,32,33,2,0.5000,0.4545,0.0455
CO,CO,2014,3,43,43,3,0.6364,0.3636,0.0000
DNFSB,DNFSB,2014,3,30,31,2,0.2500,0.5500,0.2000
MCC,MCC,2014,4,33,14,23,0.7500,0.2500,0.0000
FMSHRC,FMSHRC,2014,5,152,156,1,1.0000,0.0000,0.0000
OGE,OGE,2014,5,28,30,3,0.2000,0.7000,0.1000
CNCS,CNCS,2014,6,68,66,8,0.5532,0.4468,0.0000
NEA,NEA,2014,6,71,73,4,0.3725,0.6275,0.0000
ONDCP,ONDCP,2014,6,62,61,7,0.4444,0.5185,0.0370
FOMC,FOMC,2014,8,29,29,8,0.6471,0.3529,0.0000
CIGIE,CIGIE,2014,10,38,42,6,0.4000,0.6000,0.0000
CFPB,CFPB,2014,11,288,282,17,0.3175,0.4974,0.1852
FTC,FTC,2014,11,1440,1425,26,0.4154,0.5457,0.0389
MSPB,MSPB,2014,12,221,212,21,0.7007,0.2721,0.0272
FERC,FERC,2014,15,117,109,23,0.1750,0.5375,0.2875
BBG,BBG,2014,17,138,145,10,0.5676,0.3784,0.0541
FMC,FMC,2014,18,41,43,16,0.3103,0.6897,0.0000
CFTC,CFTC,2014,20,164,151,33,0.3000,0.5800,0.1200
FEC,FEC,2014,22,98,87,33,0.3529,0.5882,0.0588
FDIC,FDIC,2014,24,647,656,15,0.4921,0.3810,0.1270
FHFA,FHFA,2014,25,160,171,14,0.2959,0.5510,0.1531
NRPC,NRPC,2014,25,200,200,25,0.4554,0.3750,0.1696
TVA,TVA,2014,26,165,175,16,0.4390,0.5041,0.0569
USTR,USTR,2014,28,66,71,23,0.8333,0.1667,0.0000
SBA,SBA,2014,30,1306,1312,24,0.8448,0.1397,0.0155
NIGC,NIGC,2014,33,52,75,10,0.2500,0.6875,0.0625
PC,PC,2014,36,291,194,133,0.6545,0.3000,0.0455
FRB,FRB,2014,37,812,815,34,0.8274,0.1352,0.0374
Ex-Im Bank,Ex-Im Bank,2014,38,60,60,38,0.4545,0.4773,0.0682
CEQ,CEQ,2014,43,35,30,48,0.3333,0.6667,0.0000
NASA,NASA,2014,54,792,790,56,0.4171,0.4925,0.0905
FCC,FCC,2014,61,679,673,67,0.2857,0.6623,0.0519
OMB,OMB,2014,61,152,180,33,0.5056,0.4045,0.0899
PBGC,PBGC,2014,75,2094,2083,86,0.7379,0.2136,0.0485
USNRC,USNRC,2014,97,508,485,120,0.3269,0.5922,0.0809
NLRB,NLRB,2014,101,4470,4426,145,0.8413,0.0974,0.0613
CSOSA,CSOSA,2014,104,724,770,58,0.1281,0.8705,0.0015
OSC,OSC,2014,132,168,91,209,0.3810,0.4048,0.2143
NSF,NSF,2014,148,338,306,180,0.1393,0.8320,0.0287
ODNI,ODNI,2014,155,467,394,228,0.1885,0.6148,0.1967
GSA,GSA,2014,160,1522,1508,174,0.5805,0.3850,0.0344
USPS,USPS,2014,196,2547,2489,254,0.3083,0.3841,0.3076
USAID,USAID,2014,237,373,315,295,0.2761,0.6642,0.0597
U.S. CPSC,U.S. CPSC,2014,247,1240,1249,238,0.7077,0.2622,0.0301
HUD,HUD,2014,266,2367,2224,409,0.5571,0.3562,0.0868
SSA,SSA,2014,294,26899,24689,2504,0.9426,0.0501,0.0072
ED,ED,2014,304,2234,2147,391,0.2931,0.5762,0.1307
NTSB,NTSB,2014,342,589,409,522,0.1107,0.1718,0.7176
DOC,DOC,2014,366,1896,1776,486,0.5322,0.3169,0.1508
SEC,SEC,2014,490,14862,14757,595,0.6394,0.1192,0.2413
DOE,DOE,2014,577,2219,2274,522,0.5572,0.4201,0.0227
OPM,OPM,2014,838,8302,8463,677,0.6668,0.3273,0.0059
DOI,DOI,2014,897,5764,5647,1014,0.6135,0.3376,0.0489
CIA,CIA,2014,1092,3737,3795,1034,0.1683,0.3602,0.4715
EEOC,EEOC,2014,1261,17213,17314,1160,0.0379,0.8193,0.1428
Treasury,Treasury,2014,1402,14107,13990,1519,0.5762,0.3824,0.0415
DOT,DOT,2014,1737,12012,11213,2536,0.6970,0.2912,0.0118
U.S. DOL,U.S. DOL,2014,1796,16106,16715,1187,0.1664,0.6577,0.1759
EPA,EPA,2014,2168,10470,10130,2508,0.8748,0.1129,0.0123
VA,VA,2014,2416,28009,27982,2443,0.4809,0.3211,0.1981
USDA,USDA,2014,2849,19864,19243,3470,0.8665,0.1172,0.0164
NARA,NARA,2014,6600,22237,19476,9361,0.5310,0.4476,0.0213
HHS,HHS,2014,7794,44283,42293,9784,0.6239,0.1822,0.1940
State,State,2014,9372,19696,18094,10974,0.2038,0.2857,0.5105
DoD,DoD,2014,9938,61055,59321,11672,0.5536,0.3598,0.0866
DOJ,DOJ,2014,11448,64488,63026,12910,0.7136,0.2340,0.0524
DHS,DHS,2014,67097,291242,238031,120308,0.1099,0.8491,0.0410
